name,type,ra_hours,dec_degrees,magnitude,size_arcmin
Abell 1,PN,0.215278,69.173333,,0.78
Abell 2,PN,0.759633,57.959689,,0.52
Abell 3,PN,2.201851,64.150648,,1.00
Abell 4,PN,2.756570,42.551275,,0.33
Abell 5,PN,2.870853,50.598350,,2.12
Abell 6,PN,2.978296,64.501743,,3.10
Abell 7,PN,5.052092,-15.606311,15.49,12.73
Abell 8,PN,5.110672,39.135741,,1.00
Abell 9,PN,5.482417,36.051389,,0.62
Abell 10,PN,5.529305,6.933772,,0.33
Abell 11,PN,5.622657,8.258135,,0.32
Abell 12,PN,6.038901,9.653914,,0.62
Abell 13,PN,6.079971,3.943267,19.87,2.54
Abell 14,PN,6.185738,11.778840,15.24,0.55
Abell 15,PN,6.450566,-25.380472,15.72,0.57
Abell 16,PN,6.732061,61.790183,18.71,2.35
Abell 17,PN,6.810560,-9.544097,,0.71
Abell 18,PN,6.937405,-2.885503,20.90,1.22
Abell 19,PN,6.999008,14.609436,,1.12
Abell 20,PN,7.382687,1.759428,16.47,1.12
Abell 21,PN,7.484086,13.246830,15.99,10.25
Abell 22,PN,7.602199,2.707651,19.59,1.40
Abell 23,PN,7.721662,-34.754344,,0.90
Abell 24,PN,7.860432,3.005877,17.18,5.91
Abell 25,PN,8.112917,-2.876439,18.43,2.77
Abell 26,PN,8.150457,-32.673586,11.58,0.67
Abell 27,PN,8.531287,-32.102414,,0.72
Abell 28,PN,8.693210,58.230107,16.56,4.47
Abell 29,PN,8.671923,-20.910171,18.35,
Abell 30,PN,8.781518,17.879547,14.30,0.29
Abell 31,PN,8.903657,8.898039,15.54,16.20
Abell 32,PN,9.273556,3.890556,,2.23
Abell 33,PN,9.652539,-2.808469,,4.47
Abell 34,PN,9.759816,-13.171065,16.32,4.83
Abell 35,PN,12.892440,-22.872936,9.69,12.87
Abell 36,PN,13.678152,-19.882035,11.57,6.12
Abell 37,PN,14.073867,-17.227939,,0.78
Abell 38,PN,16.388614,-31.749619,20.00,1.53
Abell 39,PN,16.459367,27.909298,15.60,2.90
Abell 40,PN,16.809587,-21.014075,,0.57
Abell 41,PN,17.483896,-15.217912,15.95,0.31
Abell 42,PN,17.524741,-8.319421,20.20,
Abell 43,PN,17.892299,10.623392,14.71,1.33
Abell 44,PN,18.503123,-16.757311,,0.10
Abell 45,PN,18.504284,-11.615953,,
Abell 46,PN,18.521831,26.936697,,1.06
Abell 47,PN,18.589601,-0.230870,,
Abell 48,PN,18.713034,-3.221471,,0.70
Abell 49,PN,18.891192,-6.479675,,
Abell 50,PN,18.988897,48.465344,16.57,0.45
Abell 51,PN,19.017053,-18.204256,15.42,1.12
Abell 52,PN,19.075651,17.951981,,
Abell 53,PN,19.112753,6.397908,,0.52
Abell 54,PN,19.144310,22.983205,,0.93
Abell 55,PN,19.173824,-2.339850,,0.80
Abell 56,PN,19.218358,2.879809,,
Abell 57,PN,19.284904,25.625803,17.73,
Abell 58,PN,19.305688,1.783228,,
Abell 59,PN,19.311112,19.575819,,1.43
Abell 60,PN,19.321609,-12.243369,,1.23
Abell 61,PN,19.319501,46.247771,,
Abell 62,PN,19.554969,10.616600,,2.68
Abell 63,PN,19.702858,17.087350,,
Abell 64,PN,19.759672,5.564360,,0.58
Abell 65,PN,19.776169,-23.136935,15.77,1.80
Abell 66,PN,19.958751,-21.612836,17.39,4.45
Abell 67,PN,19.974173,3.050003,,1.12
Abell 68,PN,20.002945,21.715561,,
Abell 69,PN,20.332873,38.400600,,0.37
Abell 70,PN,20.525891,-7.088343,,0.70
Abell 71,PN,20.539782,47.347336,19.34,2.63
Abell 72,PN,20.833903,13.558202,16.07,2.12
Abell 73,PN,20.940842,57.434181,,1.22
Abell 74,PN,21.281206,24.147526,17.11,
Abell 75,PN,21.439872,62.892175,,0.95
Abell 76,PN,21.501053,-2.808100,,
Abell 77,PN,21.536080,55.881400,,1.21
Abell 78,PN,21.591495,31.695958,13.25,1.78
Abell 79,PN,22.438130,54.827290,16.96,0.90
Abell 80,PN,22.579335,52.434953,,1.83
Abell 81,PN,22.706839,80.442013,,0.57
Abell 82,PN,23.763264,57.066234,,1.35
Abell 83,PN,23.779641,54.743803,,0.78
Abell 84,PN,23.795571,51.399212,18.58,1.58
Abell 85,PN,23.986944,62.436667,,34.00
Abell 86,PN,0.025271,70.708314,,1.05
