alias,canonical_name
30 Dor Cluster,NGC 2070
47 Tuc Cluster,NGC 104
Alnilam,NGC 1990
Amas de l'Ecu de Sobieski,NGC 6705
Andromeda Galaxy,NGC 224
Antennae Galaxies,NGC 4038
Antennae Galaxies,NGC 4039
Barbell Nebula,NGC 650
Barnard's Galaxy,NGC 6822
Barnard's Merope Nebula,IC 349
Bear Claw Nebula,NGC 2537
Bear-Paw Galaxy,NGC 2537
Beehive,NGC 2632
Black Eye Galaxy,NGC 4826
Blinking Planetary,NGC 6826
Blue Flash Nebula,NGC 6905
Blue Planetary,NGC 3918
Bode's Galaxy,NGC 3031
Bow-Tie nebula,NGC 40
Box Nebula,NGC 6309
Browning,IC 2431 NED02
Bubble Nebula,NGC 7635
Bug Nebula,NGC 6302
Butterfly Cluster,NGC 6405
Butterfly Galaxies,NGC 4567
Butterfly Galaxies,NGC 4568
Butterfly Nebula,NGC 6302
California Nebula,NGC 1499
Carina Nebula,NGC 3372
Caroline's Cluster,NGC 2360
Cat's Eye Nebula,NGC 6543
Centaurus A,NGC 5128
Checkmark Nebula,NGC 6618
Christmas Tree Cluster,NGC 2264
Cigar Galaxy,NGC 3034
Coalsack Cluster,NGC 4609
Cocoon Galaxy,NGC 4990
Cocoon Nebula,IC 5146
Coddington's Nebula,IC 2574
Coma Pinwheel,NGC 4254
Copeland's Blue Snowball,NGC 7662
Cork Nebula,NGC 650
Crab Nebula,NGC 1952
Crescent Nebula,NGC 6888
Dumbbell Nebula,NGC 6853
Eagle Nebula,IC 4703
Eagle Nebula,NGC 6611
Eastern Veil,NGC 6992
Eastern Veil,NGC 6995
Eight-Burst Nebula,NGC 3132
Eskimo Nebula,NGC 2392
Evil Eye Galaxy,NGC 4826
Eyes,NGC 4435
Eyes,NGC 4438
Filamentary Nebula,NGC 6960
Fireworks Galaxy,NGC 6946
Flame Nebula,IC 434
Flaming Star Nebula,IC 405
Fornax A,NGC 1316
Fornax B,NGC 1317
Fornax Dwarf Cluster 3,NGC 1049
Foxhead Cluster,NGC 6819
Gem A,IC 443
Great Bird Cluster,NGC 2301
Great Orion Nebula,NGC 1976
Helix Galaxy,NGC 2685
Helix Nebula,NGC 7293
Hercules Globular Cluster,NGC 6205
Herschel's Jewel Box,NGC 4755
Hind's Nebula,NGC 1555
Hind's Variable Nebula,NGC 1555
Hubble's Nebula,NGC 2261
Iris Nebula,NGC 7023
Jupiter's Ghost Nebula,NGC 3242
Lagoon Nebula,NGC 6523
Little Dumbbell Nebula,NGC 650
Little Gem,NGC 6445
Little Gem Nebula,NGC 6818
Little Ghost Nebula,NGC 6369
Lobster Nebula,NGC 6618
Lower Sword,NGC 1980
Maia Nebula,NGC 1432
Mairan's Nebula,NGC 1982
Medusa Galaxy Merger,NGC 4194
Merope Nebula,NGC 1435
Mice Galaxy,NGC 4676
Miniature Spiral,NGC 3928
Monkey Head Nebula,NGC 2174
Needle Galaxy,NGC 4565
Network Nebula,NGC 6992
Network Nebula,NGC 6995
North America Nebula,NGC 7000
Omega Centauri,NGC 5139
Orion B,IC 434
Orion Nebula,NGC 1976
Owl Cluster,NGC 457
Owl Nebula,NGC 3587
Pearl Cluster,NGC 3766
Pelican Nebula,IC 5070
Pencil Nebula,NGC 2736
Perseus A,NGC 1275
Phantom Streak Nebula,NGC 6741
Polarissima Australis,NGC 2573
Polarissima Borealis,NGC 3172
Praesepe Cluster,NGC 2632
Ptolemy's Cluster,NGC 6475
Red Spider Nebula,NGC 6537
Rim Nebula,NGC 6188
Ring Nebula,NGC 6720
Rosette A,NGC 2237
Rosette B,NGC 2246
Rosette Nebula,NGC 2238
S Nor Cluster,NGC 6087
Saturn Nebula,NGC 7009
Schmidt's Nova Cygni,NGC 7114
Sculptor Filament,NGC 253
Siamese Twins,NGC 4567
Siamese Twins,NGC 4568
Silver Coin,NGC 253
Small Magellanic Cloud,NGC 292
Small Sgr Star Cloud,IC 4715
Sombrero Galaxy,NGC 4594
Southern Pinwheel Galaxy,NGC 5236
Spindle Galaxy,NGC 3115
Star Queen,IC 4703
Sunflower Galaxy,NGC 5055
Swan Nebula,NGC 6618
Tarantula Nebula,NGC 2070
Toby Jug Nebula,IC 2220
Triangulum Galaxy,NGC 598
Triangulum Pinwheel,NGC 598
Trifid Nebula,NGC 6514
Umbrella Galaxy,NGC 4651
Upper Sword,NGC 1981
Veil Nebula,NGC 6960
Virgo Cluster Pinwheel,NGC 4254
Virgo Galaxy,NGC 4486
Western Veil,NGC 6960
Whale Galaxy,NGC 4631
Whirlpool Galaxy,NGC 5194
Wild Duck Cluster,NGC 6705
Wishing Well Cluster,NGC 3532
chi Persei Cluster,NGC 884
eta Car Nebula,NGC 3372
gam Cyg,IC 1318
h Persei Cluster,NGC 869
kappa Crucis Cluster,NGC 4755
lam Cen Nebula,IC 2944
omega Nebula,NGC 6618
omi Per Cloud,IC 348
omi Vel Cluster,IC 2391
rho Oph Nebula,IC 4604
tet Car Cluster,IC 2602
the Guitar,NGC 3561
the Running Man Nebula,NGC 1977
the War and Peace Nebula,NGC 6357
the Witch Head Nebula,NGC 1909
