alias,canonical_name
47 Tuc Cluster,Mel 1
AFGL 333 Cloud,Cr 26
AFGL 333 Cloud,LBN 654
AFGL 333 Cloud,Mel 15
AFGL 333 Cloud,Sh2-190
AL SUFI's Cluster,Cr 399
Alniyat,Gum 65
Alniyat,LBN 1101
Alniyat,Sh2-9
Alpha Per Cluster,Cr 39
Alpha Per Cluster,Mel 20
Alpha Persei Cluster,Cr 39
Alpha Persei Cluster,Mel 20
Amas de l'Ecu de Sobieski,Cr 391
Amas de l'Ecu de Sobieski,Mel 213
Ant Nebula,RCW 101
Antares,Ced 132
Antares,LBN 1108
Antares Nebula,LBN 1107
Antennae,Arp 244
Arp 150 Group,HCG 95
Atoms for Peace Galaxy,Arp 226
Atoms-for-Peace Galaxy,Arp 226
BAC 209,LBN 127
BAC 209,Sh2-80
Barnard Loop,Sh2-276
Barnard's Arc,Sh2-276
Barnard's Loop,Sh2-276
Bear Claw Nebula,Arp 6
Bear's Paw,Arp 6
Bear-Paw Galaxy,Arp 6
Beehive,Mel 88
Bermuda Cluster,LBN 373
Bermuda Cluster,Sh2-117
Brocchi's Cluster,Cr 399
Bubble Nebula,LBN 548
Bubble Nebula,Sh2-162
Bug Nebula,Gum 60
Bug Nebula,RCW 124
Bug Nebula,Sh2-6
Burnham Nebula,Ced 32c
Burnham's Nebula,Ced 32c
CRAB NEB,LBN 833
CRAB NEB,Sh2-244
California Nebula,LBN 756
California Nebula,Sh2-220
Car Nebula,Gum 33
Car Nebula,RCW 53
Carina Nebula,Gum 33
Carina Nebula,RCW 53
Caroline's Cluster,Mel 64
Cat's Paw Nebula,Gum 62
Cat's Paw Nebula,RCW 127
Cave Nebula,Ced 201
Cave Nebula,LBN 531
Cen A,Arp 153
Cen-A,Arp 153
Centaurus A,Arp 153
Checkmark Nebula,LBN 60
Christmas Tree Cluster,LBN 911
Christmas Tree Cluster,Sh2-273
Cigar Galaxy,Arp 337
Cirrus Nebula,LBN 191
Coathanger,Cr 399
Cocoon Galaxy,Arp 269
Cocoon Nebula,Cr 470
Cocoon Nebula,LBN 424
Coma Ber Cluster,Cr 256
Coma Ber Cluster,Mel 111
Coma Berenices Cluster,Cr 256
Coma Berenices Cluster,Mel 111
Coma Star Cluster,Cr 256
Coma Star Cluster,Mel 111
Copeland Septet,Arp 320
Copeland Septet,HCG 57
Crab,LBN 833
Crab,Sh2-244
Crab Nebula,LBN 833
Crab Nebula,Sh2-244
Crescent Nebula,LBN 203
Cyg Loop,Sh2-103
Cygnus Loop,Sh2-103
Eagle Nebula,LBN 67
Elephant Trunk Nebula,LBN 452
Engraved Hourglass Nebula,RCW 77
Etched Hourglass Nebula,RCW 77
Eyes,Arp 120
Filamentary Nebula,LBN 191
Fine Ring Nebula,RCW 100
Flame Nebula,LBN 953
Flaming Star Nebula,LBN 795
For A,Arp 154
Fornax A,Arp 154
Foxhead Cluster,Mel 223
Gem A,LBN 844
Gem A,Sh2-248
Gingrich 1,Ced 20
Gingrich 1,Cr 41
Gingrich 1,LBN 758
Great Orion Nebula,LBN 974
Gulf of Mexico,LDN 935
HH 240-241,LDN 1634
HH 240/241,LDN 1634
HUBBLE'S VAR NEB,Ced 83
HUBBLE'S VAR NEB,LBN 920
Helix Galaxy,Arp 336
Herschel's Jewel Box,Mel 114
Hind's Nebula,Ced 32b
Hind's Nebula,Sh2-238
Hind's Variable Nebula,Ced 32b
Hind's Variable Nebula,Sh2-238
Horsehead Nebula,B 33
Hubble's Nebula,Ced 83
Hubble's Nebula,LBN 920
Hyades,Cr 50
Hyades,Mel 25
Hyades Cluster,Cr 50
Hyades Cluster,Mel 25
IC 1396 North,LDN 1121
IC 2087 IR,Ced 38
IC 2087 IR,LBN 813
IRIS Nebula,LBN 487
Jellyfish Nebula,LBN 844
Jellyfish Nebula,Sh2-248
Jewel Box,Mel 114
Keenan's System,Arp 104
Keyhole,Gum 33
Keyhole,RCW 53
Keyhole Nebula,Gum 33
Keyhole Nebula,RCW 53
Kite Cluster,Mel 229
Kutner's Cloud,B 18
Kutner's Cloud,LDN 1529
LDN 1535 IRS,LDN 1535
Lagoon,LBN 25
Lagoon,Sh2-25
Lagoon Nebula,LBN 25
Lagoon Nebula,Sh2-25
Leo Triplet,Arp 317
Lobster Nebula,LBN 60
Lower Sword,LBN 977
Lower's Nebula,LBN 863
Lower's Nebula,Sh2-261
M 87*,Arp 152
Maia Nebula,LBN 771
Mayall's Object,Arp 148
Medusa Galaxy Merger,Arp 160
Medusa Nebula,Abell 21
Medusa Nebula,Sh2-274
Merrill's star,LBN 127
Merrill's star,Sh2-80
Mice,Arp 242
Mice Galaxy,Arp 242
Mon R2 IRS3,Ced 63
Mon R2 IRS3,LBN 994
NGC 128 Group,HCG 7
NGC 3091 Group,HCG 42
NGC 3825 Group,HCG 58
NGC 3839 Group,HCG 58
NGC 4038/9,Arp 244
NGC 4761 Group,HCG 62
NGC 5353 Group,HCG 68
NGC 5353-5354 Group,HCG 68
NGC 5353/4 Group,HCG 68
NGC 6618 Horseshoe,LBN 60
NGC 7129 IR Cluster,LBN 497
NGC 7176 Group,HCG 90
NGC 7609 Group,HCG 95
NORTH AMER NEB,LBN 373
NORTH AMER NEB,Sh2-117
North America,LBN 373
North America,Sh2-117
North America Nebula,LBN 373
North America Nebula,Sh2-117
Northern Streamer,B 218
Nova Aquilae No 4,Abell 58
OPHIUCUS,LDN 1688
Oph Cloud,LDN 1688
Oph Molecular Cloud,LDN 1688
Oph Region,LDN 1688
Ophiuchus,LDN 1688
Ophiuchus Cloud,LDN 1688
Ophiuchus Dark Cloud,LDN 1688
Ophiuchus Molecular Cloud,LDN 1688
Ophiuchus Region,LDN 1688
Ori Nebula,LBN 974
Orion Nebula,LBN 974
Pancake Galaxy,Arp 336
Parrot's Head,B 87
Parrot's Head,LDN 1771
Pelican,LBN 350
Pelican Nebula,LBN 350
Pencil Nebula,RCW 37
Pinwheel,Arp 26
Pleiades,Mel 22
Praesepe,Mel 88
Praesepe Cluster,Mel 88
Question Mark Galaxy,Arp 85
RHO OPH MCLD,LDN 1688
RNO 40 FIR,LDN 1634
Ring Tail,Arp 244
Rosette Nebula,LBN 949
Rosette Nebula,LBN 949
Rosette Nebula,Sh2-275
SMOKING GUN,Arp 152
Segner's Wheel,Arp 241
Seven Sisters,Mel 22
Seyfert Quintet,HCG 79
Seyfert Sextet,HCG 79
Seyfert's Quintet,HCG 79
Seyfert's Sextet,HCG 79
Snake DCld,B 72
Snake DCld,LDN 66
Star Queen,LBN 67
Stephan's Quartet,HCG 92
Stephan's Quintet,HCG 92
Struve's nebula,Ced 32
Struve's nebula,LBN 817
Swan Nebula,LBN 60
THETA CAR Cluster,Cr 229
THETA CAR Cluster,Mel 102
Tadpole Galaxy,Arp 188
Tau A,LBN 833
Tau A,Sh2-244
Taurus A,LBN 833
Taurus A,Sh2-244
Trifid Nebula,Cr 360
Trifid Nebula,LBN 27
UMa A,Arp 337
Umbrella Galaxy,Arp 189
VV 700 Group,HCG 91
Veil Nebula,LBN 191
Vir A,Arp 152
Virgo A,Arp 152
Virgo Galaxy,Arp 152
Whale Galaxy,Arp 281
Whirlpool,Arp 85
Whirlpool Galaxy,Arp 85
Wild Duck Cluster,Cr 391
Wild Duck Cluster,Mel 213
Wild's Triplet,Arp 248
Wizard Nebula,LBN 511
Wizard Nebula,Sh2-142
XMAS TREE CL,LBN 911
XMAS TREE CL,Sh2-273
Zwicky's Triplet,Arp 103
alf Per Cluster,Cr 39
alf Per Cluster,Mel 20
chi Per Cluster,Cr 25
chi Per Cluster,Mel 14
chi Persei Cluster,Cr 25
chi Persei Cluster,Mel 14
eta Car Nebula,Gum 33
eta Car Nebula,RCW 53
h Per Cluster,Cr 24
h Per Cluster,Mel 13
h Persei Cluster,Cr 24
h Persei Cluster,Mel 13
kap Cru Cluster,Mel 114
kappa Crucis Cluster,Mel 114
khi Per Cluster,Cr 25
khi Per Cluster,Mel 14
lam Cen Nebula,Gum 42
lam Cen Nebula,RCW 62
lam Ori Cluster,Cr 69
lam Ori Group,Cr 69
lam Ori Molecular Ring,Sh2-264
lambda Ori Association,Cr 69
lambda Ori Cluster,Cr 69
omega Nebula,LBN 60
omi Per Cloud,Ced 20
omi Per Cloud,Cr 41
omi Per Cloud,LBN 758
rho Oph Cloud,LDN 1688
rho Oph Dark Cloud,LDN 1688
rho Oph Nebula,Ced 131b
rho Oph Nebula,LBN 1111
rho Oph Region,LDN 1688
rho Ophiuchi Cloud,LDN 1688
rho Ophiuchus Cloud,LDN 1688
tet Car Cluster,Cr 229
tet Car Cluster,Mel 102
the Antennae,Arp 244
the Mice,Arp 242
the War and Peace Nebula,Gum 66
the War and Peace Nebula,RCW 131
the War and Peace Nebula,Sh2-11
the Witch Head Nebula,Ced 41
the Witch Head Nebula,LBN 959
