name,type,ra_hours,dec_degrees,magnitude,size_arcmin
Arp 1,G,9.410481,49.357072,12.27,1.87
Arp 2,G,16.271639,47.045314,,1.72
Arp 3,G,22.609737,-2.906780,,1.74
Arp 4,G,1.807132,-12.382030,,1.30
Arp 5,G,11.406738,3.324986,,1.69
Arp 6,G,8.220734,45.989792,11.69,1.91
Arp 7,G,8.838953,-16.579458,,0.54
Arp 8,G,1.373271,-0.875213,,2.15
Arp 9,G,8.250039,73.578973,,2.57
Arp 10,GPair,2.307333,5.653887,,1.20
Arp 11,GPair,1.157042,14.352530,,
Arp 12,G,8.588147,28.473399,,2.03
Arp 13,G,23.000997,15.980364,,2.96
Arp 14,G,22.596166,-26.050435,13.11,4.37
Arp 15,G,22.860583,-5.557360,,1.98
Arp 16,G,11.337507,12.991500,8.92,11.43
Arp 17,G,7.744777,73.821093,,1.11
Arp 18,G,12.092840,50.539184,,5.86
Arp 19,G,0.529369,-5.152653,,1.45
Arp 20,G,4.331581,2.093375,,0.68
Arp 21,G,11.082909,30.027388,,0.71
Arp 22,G,11.991713,-19.265172,11.10,1.90
Arp 23,G,12.692472,41.150885,10.78,4.08
Arp 24,G,10.911139,56.986389,,
Arp 25,G,7.454024,85.754500,,1.24
Arp 26,G,14.053495,54.348750,7.86,21.88
Arp 27,G,11.350802,53.169560,,3.88
Arp 28,G,23.474406,22.421269,,1.84
Arp 29,G,20.581203,60.153678,,11.48
Arp 30,GPair,17.378755,62.173666,,1.50
Arp 31,G,1.852378,21.912810,,1.10
Arp 32,GPair,17.219194,59.328611,,1.20
Arp 33,GPair,13.626667,6.433333,,
Arp 34,G,12.693699,26.072807,,1.13
Arp 35,GPair,0.373063,-1.303417,,0.85
Arp 36,G,13.570746,31.424583,,0.55
Arp 37,G,2.711308,-0.013294,8.87,5.50
Arp 38,G,17.493756,75.704331,,2.37
Arp 39,GPair,3.494944,-22.278889,,1.33
Arp 40,G,13.489291,37.414017,,0.64
Arp 41,G,3.162643,-20.579300,9.87,5.07
Arp 42,G,15.045002,23.333600,,1.29
Arp 43,G,10.402383,16.741908,,1.27
Arp 44,G,10.426510,-2.215246,,1.56
Arp 45,GPair,14.333544,51.881222,,0.37
Arp 46,G,23.560730,30.039006,,1.07
Arp 47,G,14.786833,18.859107,,0.28
