name,type,ra_hours,dec_degrees,magnitude,size_arcmin
B 1,DrkN,3.554528,31.130833,,
B 2,DrkN,3.558333,32.316667,,20.00
B 3,DrkN,3.666667,31.966667,,20.00
B 4,DrkN,3.733333,31.783333,,45.00
B 5,DrkN,3.800000,32.900000,,
B 6,DrkN,3.935538,56.074988,,4.20
B 7,DrkN,4.290000,28.550000,,60.00
B 8,DrkN,4.296667,55.233333,,
B 9,DrkN,4.300000,55.000000,,
B 10,DrkN,4.310000,28.416667,,8.00
B 11,DrkN,4.443333,55.033333,,
B 12,DrkN,4.499722,54.275000,,
B 13,DrkN,4.521667,54.883333,,4.20
B 14,DrkN,4.666667,25.733333,,
B 15,DrkN,4.535000,46.600000,,18.00
B 16,DrkN,4.540000,46.600000,,1.00
B 17,DrkN,4.541667,46.516667,,1.00
B 18,DrkN,4.545722,24.386944,,
B 19,DrkN,4.550000,26.300000,,
B 20,DrkN,4.618333,50.966667,,60.00
B 21,DrkN,4.631667,55.350000,,
B 22,DrkN,4.633333,26.100000,,
B 23,DrkN,4.673333,29.933333,,
B 24,DrkN,4.725556,29.666667,,
B 25,DrkN,4.878333,46.000000,,14.00
B 26,DrkN,4.910000,30.616667,,
B 27,DrkN,4.918333,30.550000,,
B 28,DrkN,4.931667,30.633333,,
B 29,DrkN,5.103833,31.705556,,
B 30,DrkN,5.505000,12.766667,,
B 31,DrkN,5.533333,12.750000,,30.00
B 32,DrkN,5.533417,12.507778,,
B 33,DrkN,5.683056,-2.458333,,6.00
B 34,DrkN,5.721583,32.618333,,12.00
B 35,DrkN,5.758333,9.050000,,
B 36,DrkN,5.816667,7.400000,,120.00
B 37,DrkN,6.533333,10.500000,,150.00
B 38,DrkN,6.561667,11.066667,,
B 39,DrkN,6.632410,10.487448,,
B 40,DrkN,16.241139,-18.912222,,5.00
B 41,DrkN,16.371667,-19.616667,,45.00
B 42,DrkN,16.416667,-23.400000,,
B 43,DrkN,16.498333,-19.600000,,80.00
B 44,DrkN,16.633333,-24.433333,,
B 45,DrkN,16.666667,-22.266667,,
B 46,DrkN,16.950833,-22.865000,,10.20
B 47,DrkN,16.993333,-22.583333,,
B 48,DrkN,17.018333,-40.716667,,6.00
B 49,DrkN,17.045556,-33.273333,,
B 50,DrkN,16.946667,-33.850000,,6.00
B 51,DrkN,17.078333,-22.200000,,19.00
B 53,DrkN,17.100000,-33.600000,,
B 54,DrkN,17.110000,-34.250000,,
B 55,DrkN,17.136667,-32.100000,,
B 56,DrkN,17.146111,-32.113333,,
B 57,DrkN,17.141944,-22.896667,,8.00
B 58,DrkN,17.189611,-40.584444,,
B 59,DrkN,17.188333,-27.366667,,50.00
