name,type,ra_hours,dec_degrees,magnitude,size_arcmin
Ced 1,RfN,0.223056,65.613333,,
Ced 2,Neb,0.333333,56.600000,,
Ced 3,HII,0.873639,56.565000,,
Ced 4a,Neb,0.978000,61.077847,,0.71
Ced 4b,HII,0.983714,60.888278,,
Ced 5,Neb,1.791667,59.783333,,
Ced 6a,Neb,2.448333,62.066667,,
Ced 6b,Neb,2.448333,62.066667,,
Ced 6c,Neb,2.448333,62.066667,,
Ced 7,Neb,2.535000,61.483333,,
Ced 8,Neb,2.733333,63.000000,,
Ced 9a,Neb,2.855000,60.433333,,
Ced 9b,Neb,2.881667,60.466667,,
Ced 9c,Neb,2.893333,60.483333,,
Ced 9d,Neb,2.893333,60.566667,,
Ced 10,Neb,2.861667,58.316667,,
Ced 11,Neb,2.936667,60.683333,,
Ced 12,RfN,3.433333,31.700000,,
Ced 13,RfN,3.431667,30.933333,,
Ced 14,RfN,3.483333,58.900000,,
Ced 15,RfN,3.483333,29.900000,,
Ced 16,RfN,3.486472,31.310000,,480.00
Ced 17,Neb,3.523333,43.916667,,
Ced 18a,Neb,3.650000,32.250000,,
Ced 18b,RfN,3.736667,32.283333,,
Ced 19,HII,3.616667,23.400000,,
Ced 19a,Neb,3.650000,22.000000,,
Ced 19b,Neb,3.700000,21.800000,,
Ced 19c,Neb,3.746667,24.300000,,
Ced 19d,RfN,3.748333,24.116667,,
Ced 19e,Neb,3.755000,24.483333,,
Ced 20,RfN,3.742139,32.158889,,480.00
Ced 21,RfN,3.743333,32.333333,,
Ced 22,Neb,3.838333,25.583333,,2.00
Ced 23,Neb,3.895000,32.500000,,
Ced 24,Neb,3.841667,25.533333,,
Ced 25,HII,4.054417,51.315000,,4.80
Ced 26,Neb,4.056667,36.416667,,
Ced 27,Neb,4.110000,27.616667,,
Ced 28,Neb,4.155000,30.650000,,
Ced 29,Neb,4.216667,25.600000,,
Ced 30,RfN,4.311389,28.290000,,
Ced 31,RfN,4.366806,28.417222,,
Ced 32,RfN,4.366667,19.600000,,
Ced 32a,Neb,4.361667,19.516667,,
Ced 32b,RfN,4.365855,19.535162,,
Ced 32c,HII,4.366500,19.535000,,
Ced 33,RfN,4.451303,26.104461,10.50,
Ced 34,HII,4.450000,22.900000,,
Ced 35,RfN,4.500933,35.325000,,13.40
Ced 36,RfN,4.505000,35.483333,,
Ced 37,RfN,4.674234,50.474810,,0.56
Ced 38,RfN,4.665485,25.750539,,
Ced 39,Neb,4.716667,27.000000,,
Ced 40,RfN,5.115000,-3.341667,,
Ced 41,RfN,5.033333,-7.900000,,
Ced 41a,Neb,5.116667,-7.200000,,
Ced 41b,Neb,5.116667,-7.200000,,
Ced 42,Neb,5.272472,34.386389,,
Ced 43,Neb,5.371161,33.505917,,
Ced 44,HII,5.366667,8.300000,,
Ced 45,Neb,5.420000,6.350000,,
Ced 46,Neb,5.468333,34.450000,,
Ced 47,Neb,5.480000,12.566667,,
Ced 48,Neb,5.516667,30.150000,,
Ced 49,RfN,5.523000,34.233000,10.10,13.00
Ced 50,Neb,5.426667,30.366667,,
Ced 51,Neb,5.533333,12.400000,,
Ced 52,RfN,5.555833,-0.633333,,6.00
Ced 53,Neb,5.575705,22.011007,,
Ced 54,HII,5.585648,9.924585,,
Ced 55a,Neb,5.580000,-5.566667,,
Ced 55b,Neb,5.584667,-4.731861,,
Ced 55c,Neb,5.586667,-4.683333,,
Ced 55d,Neb,5.588333,-5.383333,,
Ced 55e,HII,5.587332,-4.929037,,
Ced 56,Neb,5.633333,32.400000,,
Ced 57,RfN,5.629951,31.989998,,
Ced 57b,Neb,6.165000,20.416667,,
Ced 58,Neb,5.750000,12.900000,,
Ced 59,HII,5.766667,9.000000,,
Ced 60,Neb,5.943333,32.033333,,
Ced 61,RfN,6.076197,30.511121,,
Ced 62,RfN,6.130417,18.657500,,
