name,type,ra_hours,dec_degrees,magnitude,size_arcmin
Cr 3,OCl,0.520000,63.396944,9.40,
Cr 10,OCl,1.138861,61.583889,,11.20
Cr 17,OCl,1.718333,64.038333,8.20,3.60
Cr 21,OCl,1.836000,27.115000,8.20,
Cr 24,OCl,2.316056,57.133889,,16.30
Cr 25,OCl,2.372278,57.148889,,15.00
Cr 26,OCl,2.547333,61.471111,,13.30
Cr 32,OCl,2.857000,60.418889,6.50,24.00
Cr 33,OCl,2.988333,60.400000,5.90,
Cr 34,OCl,2.989722,60.566670,6.80,
Cr 35,OCl,3.099056,44.383056,12.60,3.00
Cr 39,OCl,3.441139,48.975000,,243.20
Cr 41,OCl,3.742139,32.158889,,480.00
Cr 44,OCl,4.074056,52.668056,9.60,4.00
Cr 50,OCl,4.496472,16.948056,,
Cr 53,OCl,4.676667,50.461667,11.80,3.80
Cr 60,OCl,5.209278,16.696111,,16.00
Cr 61,OCl,5.180200,16.522000,7.00,15.00
Cr 62,OCl,5.371800,41.025000,4.20,
Cr 64,OCl,5.432000,46.493056,12.00,3.00
Cr 65,OCl,5.435000,16.700000,,
Cr 69,OCl,5.586139,9.813056,2.80,360.00
Cr 70,OCl,5.591667,-1.100000,,
Cr 74,OCl,5.811333,7.373889,14.40,7.60
Cr 76,OCl,5.896806,0.403056,9.10,20.80
Cr 78,OCl,6.043861,49.883056,,12.00
Cr 79,OCl,6.048944,10.451111,,8.80
Cr 80,OCl,6.078889,24.091667,8.40,5.60
Cr 87,OCl,6.229333,12.813056,8.50,9.00
Cr 89,OCl,6.300000,23.633333,5.70,
Cr 91,OCl,6.364000,2.374000,6.40,
Cr 92,OCl,6.382000,5.100000,8.60,
Cr 94,OCl,6.494389,6.833889,8.50,8.40
Cr 95,OCl,6.519194,9.893889,,20.50
Cr 96,OCl,6.508467,2.845000,7.30,
Cr 97,OCl,6.521667,5.916667,5.40,
Cr 104,OCl,6.607467,4.773000,9.60,
Cr 105,OCl,6.608389,9.465000,,16.10
Cr 106,OCl,6.618528,6.001944,4.60,22.30
Cr 107,OCl,6.613528,4.971944,5.10,46.80
Cr 109,OCl,6.660278,1.146667,,5.30
Cr 110,OCl,6.645139,2.068889,10.50,18.80
Cr 111,OCl,6.647200,6.915000,7.00,
Cr 115,OCl,6.777278,1.776111,9.20,10.40
Cr 116,OCl,6.806056,41.060000,5.40,50.00
Cr 117,OCl,6.794389,-3.166944,7.50,8.90
Cr 121,OCl,6.938889,-24.730000,2.60,
Cr 122,OCl,6.934667,-7.180000,,6.20
Cr 123,OCl,6.963667,-4.616111,9.60,7.10
Cr 126,OCl,7.112000,27.255000,8.50,
Cr 131,OCl,7.233528,-25.723889,6.50,18.20
Cr 132,OCl,7.232333,-30.758056,3.60,160.00
Cr 133,OCl,7.283139,13.771944,9.70,7.00
Cr 135,OCl,7.290806,-37.043889,,136.60
Cr 138,OCl,7.349444,-10.378333,11.80,
Cr 140,OCl,7.392139,-31.966111,,68.20
Cr 144,OCl,7.451600,13.584000,,14.00
Cr 145,OCl,7.440533,-24.190000,10.00,
Cr 147,OCl,7.438194,-47.685000,,10.60
Cr 154,OCl,7.640139,21.575000,8.30,6.40
Cr 155,OCl,7.625528,-12.065000,7.10,9.00
Cr 157,OCl,7.681528,-19.078056,10.20,7.40
Cr 160,OCl,7.742722,-23.853056,,24.20
Cr 161,OCl,7.756667,-37.966667,,
Cr 170,OCl,8.000667,-10.773056,7.60,10.60
Cr 173,OCl,8.046945,-46.383340,,
Cr 174,OCl,8.083056,-28.121944,6.50,49.00
Cr 175,OCl,8.118194,-29.871944,7.60,6.60
Cr 184,OCl,8.390722,-29.503056,9.20,13.90
Cr 185,OCl,8.388861,-36.348889,7.80,15.00
Cr 187,OCl,8.403400,-29.170000,9.60,
Cr 188,OCl,8.620611,-29.951944,8.40,10.40
Cr 190,OCl,8.641278,-34.776944,11.20,6.80
Cr 192,OCl,8.702056,-48.090000,4.60,25.10
Cr 196,OCl,8.750533,-31.625000,10.50,
Cr 197,OCl,8.746806,-41.280000,6.70,18.00
Cr 198,OCl,8.755000,-31.766670,11.20,
Cr 205,OCl,9.008056,-48.983333,,5.60
Cr 207,OCl,9.323333,-40.516667,12.50,3.20
Cr 213,OCl,9.915722,-50.951111,9.20,
Cr 217,OCl,10.108056,-60.290000,8.80,5.90
Cr 219,OCl,10.396806,-60.141944,11.30,5.40
Cr 220,OCl,10.428611,-57.921944,,13.10
Cr 223,OCl,10.537778,-60.020000,9.40,
