name,type,ra_hours,dec_degrees,magnitude,size_arcmin
Gum 1,RfN,7.073611,-10.455000,,
Gum 2,HII,7.155625,-10.346565,6.21,
Gum 3,HII,7.087986,-12.326249,8.87,
Gum 4,HII,7.308333,-13.226667,,
Gum 5,HII,7.161667,-18.433333,,
Gum 6,HII,7.521667,-16.966667,,
Gum 7,HII,7.592475,-18.759177,,
Gum 8,HII,7.350000,-25.200000,,
Gum 9,HII,7.871800,-26.428000,,
Gum 10,HII,8.271333,-35.632778,,
Gum 11,HII,8.348694,-36.223056,,1.50
Gum 13,HII,8.365000,-42.650000,,
Gum 14,HII,8.652648,-40.419239,7.19,
Gum 15,HII,8.731250,-41.244167,,
Gum 16,HII,8.550000,-44.100000,,
Gum 17,HII,8.839171,-42.089791,6.00,
Gum 18,HII,8.863333,-43.850000,,
Gum 19,HII,8.941139,-43.099444,11.21,1.80
Gum 20,HII,8.983583,-43.736111,15.20,
Gum 21,HII,8.916435,-47.592406,8.80,
Gum 22,HII,8.985000,-47.500000,,
Gum 23,HII,8.995000,-47.450000,,
Gum 24,HII,9.045000,-48.333333,,
Gum 25,HII,9.039250,-48.698611,,
Gum 26,HII,9.408361,-51.985278,,
Gum 27,PN,9.450839,-56.105861,12.40,1.50
Gum 28,HII,10.275778,-57.933889,,
Gum 29,HII,10.404056,-57.782778,,
Gum 30,HII,10.598000,-58.231111,,13.00
Gum 31,HII,10.628333,-58.650000,,20.00
Gum 32,HII,10.769861,-58.653333,,
Gum 33,HII,10.750619,-59.699944,,
Gum 35,HII,10.980806,-61.110556,,
Gum 36,HII,11.201947,-58.804020,9.30,
Gum 37,HII,11.167316,-60.095136,7.74,
Gum 39,HII,11.481717,-62.652733,9.18,
Gum 40,HII,11.481098,-62.931037,9.62,
Gum 41,HII,11.506752,-63.817228,8.08,
Gum 42,HII,11.638889,-63.372780,,
Gum 43,HII,12.581778,-61.656944,,
Gum 44,HII,12.595000,-61.866667,,
Gum 45,PN,12.740955,-62.521911,,5.00
Gum 46,HII,12.839615,-61.583554,10.77,
Gum 47,PN,13.559133,-65.974178,14.50,2.33
Gum 49,HII,15.927667,-54.643510,10.41,
Gum 50,HII,15.991222,-53.749167,,3.46
Gum 51,HII,16.166667,-49.133333,,
Gum 52,HII,16.564552,-48.111243,6.71,
Gum 53,HII,16.666694,-48.862500,,
Gum 54,HII,16.903333,-45.200000,,
Gum 55,HII,16.883333,-42.200000,,
Gum 56,HII,16.948519,-40.512345,7.10,
Gum 58,HII,17.206667,-38.466667,,
Gum 59,HII,17.330000,-38.266667,,
Gum 60,PN,17.229027,-37.103100,,0.47
Gum 61,RfN,17.329444,-36.096667,,3.20
Gum 62,HII,17.347962,-36.131234,,18.30
Gum 63,HII,17.325116,-35.710034,9.63,
Gum 65,HII,16.353143,-25.592792,2.89,
Gum 66,HII,17.412333,-34.203000,,6.20
Gum 67,HII,17.578470,-32.581665,5.70,
Gum 68,HII,17.486924,-31.534285,7.04,
Gum 69,HII,17.821266,-31.255019,7.97,
Gum 70,HII,17.778333,-29.300000,,
Gum 71,HII,17.915012,-24.887096,6.20,
Gum 72,HII,18.060000,-24.333333,,
Gum 73,HII,16.619317,-10.567086,2.56,
Gum 75,HII,18.154917,-23.988398,7.31,
Gum 76,HII,18.039876,-23.030833,6.80,
Gum 78,HII,18.294439,-19.672177,,
Gum 79,HII,18.280460,-16.517863,9.07,
Gum 80,HII,18.099677,-14.198055,8.04,
Gum 82,HII,18.373333,-14.566667,,
Gum 83,HII,18.316667,-13.866667,,
Gum 84,HII,18.300000,-11.950000,,
Gum 85,HII,18.298333,-11.733333,,
