name,type,ra_hours,dec_degrees,magnitude,size_arcmin
HCG 1,GGroup,0.433769,25.723349,,2.90
HCG 2,GGroup,0.523333,8.446667,,7.10
HCG 3,GGroup,0.569722,-7.593333,,3.80
HCG 4,GGroup,0.570917,-21.447778,,3.60
HCG 5,GGroup,0.648351,7.064125,,1.60
HCG 6,GGroup,0.652778,-8.395000,,1.60
HCG 7,GGroup,0.654417,0.888056,,5.58
HCG 8,GGroup,0.826514,23.581829,,1.20
HCG 9,GGroup,0.905000,-23.551667,,2.10
HCG 10,GGroup,1.440139,34.714167,,10.63
HCG 11,GGroup,1.443333,-23.216667,,4.90
HCG 12,GGroup,1.459361,-4.670556,,2.60
HCG 13,GGroup,1.539516,-7.875749,,2.50
HCG 14,GGroup,1.996389,-7.028333,,6.70
HCG 15,GGroup,2.127500,2.138333,,7.60
HCG 16,GGroup,2.161338,-10.183900,,17.94
HCG 17,GGroup,2.234583,13.315000,,0.56
HCG 18,GGroup,2.651667,18.384720,,2.00
HCG 19,GGroup,2.712500,-12.411667,,3.10
HCG 20,GGroup,2.737222,26.103333,,1.50
HCG 21,GGroup,2.754694,-17.626389,,13.61
HCG 22,GGroup,3.058611,-15.675000,,5.00
HCG 23,GGroup,3.118333,-9.585000,,7.04
HCG 24,GGroup,3.338333,-10.850000,,2.40
HCG 25,GGroup,3.345472,-1.051944,13.60,4.55
HCG 26,GGroup,3.365000,-13.646667,,1.90
HCG 27,GGroup,4.323333,-11.700000,,3.80
HCG 28,GGroup,4.455278,-10.316667,,1.20
HCG 29,GGroup,4.579167,-30.546667,,0.80
HCG 30,GGroup,4.608333,-2.816667,,4.50
HCG 31,GGroup,5.026944,-4.256667,,0.90
HCG 32,GGroup,5.028333,-15.416667,,3.00
HCG 33,GGroup,5.179972,18.034722,,
HCG 34,GGroup,5.363056,6.676667,,1.20
HCG 35,GGroup,8.755753,44.539750,,2.20
HCG 36,GGroup,9.156667,15.795000,,1.90
HCG 37,GGroup,9.226556,30.014167,,3.20
HCG 38,GGroup,9.460000,12.266667,,2.90
HCG 39,GGroup,9.491175,-1.346862,,1.00
HCG 40,GGroup,9.648333,-4.851667,,1.74
HCG 41,GGroup,9.961111,45.240000,,4.10
HCG 42,GGroup,10.003639,-19.640000,,18.18
HCG 43,GGroup,10.186667,-0.016667,,3.50
HCG 44,GGroup,10.300000,21.811667,,16.40
HCG 45,GGroup,10.320000,59.100000,,3.40
HCG 46,GGroup,10.366667,17.800000,,3.60
HCG 47,GGroup,10.429973,13.736768,,2.30
HCG 48,GGroup,10.629333,-27.080556,,5.00
HCG 49,GGroup,10.943333,67.180000,,2.84
HCG 50,GGroup,11.285242,54.919800,,0.70
HCG 51,GGroup,11.372667,24.328056,,4.07
HCG 52,GGroup,11.438333,21.083333,,3.20
HCG 53,GGroup,11.482778,20.776667,,12.90
HCG 54,GGroup,11.487500,20.578333,,0.70
HCG 55,GGroup,11.535278,70.811667,,0.90
HCG 56,GGroup,11.542222,52.948333,,2.10
HCG 57,GGroup,11.630694,21.985000,15.40,5.50
HCG 58,GGroup,11.702611,10.275000,13.68,8.82
HCG 59,GGroup,11.807500,12.716667,,2.10
HCG 60,GGroup,12.052188,51.679585,,2.30
HCG 61,GGroup,12.207108,29.165873,13.50,3.80
HCG 62,GGroup,12.884889,-9.205833,,3.70
HCG 63,GGroup,13.036667,-32.766667,,2.90
HCG 64,GGroup,13.428611,-3.858333,,1.70
HCG 65,GGroup,13.498033,-29.501250,,1.70
HCG 66,GGroup,13.643611,57.309444,,1.72
HCG 67,GGroup,13.817639,-7.205556,,3.30
HCG 68,GGroup,13.894694,40.318611,12.40,9.20
HCG 69,GGroup,13.922800,25.125000,,1.90
HCG 70,GGroup,14.068723,33.319422,,3.40
HCG 71,GGroup,14.185000,25.483333,,5.00
HCG 72,GGroup,14.798659,19.059978,,1.80
HCG 73,GGroup,15.044472,23.353611,,4.80
HCG 74,GGroup,15.324444,20.893333,,1.90
HCG 75,GGroup,15.360282,21.180435,,2.20
HCG 76,GGroup,15.528333,7.300000,,3.30
HCG 77,GGroup,15.821389,21.828333,,0.80
HCG 78,GGroup,15.808333,68.200000,,3.50
HCG 79,GGroup,15.986557,20.756849,,1.30
HCG 80,GGroup,15.986667,65.226667,,1.70
HCG 81,GGroup,16.303968,12.795216,,1.00
HCG 82,GGroup,16.472806,32.823611,18.72,3.10
HCG 83,GGroup,16.594694,6.270000,,1.90
HCG 84,GGroup,16.735556,77.836667,,2.40
HCG 85,GGroup,18.834611,73.341060,,1.30
HCG 86,GGroup,19.866444,-30.826111,,3.90
HCG 87,GGroup,20.803056,-19.840000,,1.50
HCG 88,GGroup,20.873333,-5.750000,,7.70
HCG 89,GGroup,21.336667,-3.900000,,4.80
HCG 90,GGroup,22.035083,-31.930000,,7.40
HCG 91,GGroup,22.150222,-27.793333,,5.20
HCG 92,GGroup,22.599306,33.960000,,3.20
HCG 93,GGroup,23.253389,18.991944,,8.31
HCG 94,GGroup,23.286440,18.696907,,2.80
HCG 95,GGroup,23.325556,9.491667,,1.50
HCG 96,GGroup,23.466779,8.776930,,2.30
HCG 97,GGroup,23.790000,-2.318889,,5.23
HCG 98,GGroup,23.903330,0.372269,,2.40
HCG 99,GGroup,0.012023,28.385767,,2.34
HCG 100,GGroup,0.022162,13.122726,,3.60
