name,type,ra_hours,dec_degrees,magnitude,size_arcmin
IC 2,G,0.183578,-12.822861,15.46,0.98
IC 3,G,0.201692,-0.415222,14.78,0.93
IC 4,G,0.224150,17.486444,14.14,1.17
IC 5,G,0.293036,-9.543361,14.57,0.99
IC 6,G,0.315289,-3.276083,14.57,1.23
IC 7,G,0.314767,10.594694,14.63,0.90
IC 8,G,0.317422,-3.222083,15.16,0.82
IC 9,G,0.328883,-14.121889,15.41,0.59
IC 10,G,0.338150,59.303778,10.35,6.76
IC 11,Dup,0.883153,56.621889,,
IC 12,G,0.337514,-2.653111,15.08,0.96
IC 13,G,0.338914,7.700500,14.93,1.29
IC 15,G,0.465997,-0.061278,15.90,0.44
IC 16,G,0.468792,-13.093917,15.15,0.58
IC 17,G,0.474939,2.648611,14.77,0.67
IC 18,G,0.476378,-11.586694,15.03,1.08
IC 19,G,0.477633,-11.640778,15.15,0.79
IC 20,G,0.477689,-13.010306,14.88,0.91
IC 21,G,0.486231,-0.163778,15.54,0.49
IC 22,G,0.492547,-9.080750,14.73,0.81
IC 23,G,0.514111,-12.720250,15.05,0.85
IC 25,G,0.520025,-0.407361,15.29,0.86
IC 26,Dup,0.529428,-13.337472,,
IC 27,G,0.551733,-13.371500,15.82,0.58
IC 28,G,0.552422,-13.456278,15.56,0.30
IC 29,G,0.569667,-2.177639,15.79,0.66
IC 30,G,0.570756,-2.084583,15.17,0.69
IC 31,G,0.573508,12.268167,15.62,1.16
IC 32,G,0.583803,-2.141694,16.15,0.62
IC 33,G,0.584767,-2.137694,15.29,0.78
IC 34,G,0.593450,9.124250,13.77,2.81
IC 35,G,0.627744,10.357972,14.96,0.90
IC 36,G,0.630458,-15.441278,15.54,0.31
IC 37,G,0.642828,-15.358694,16.23,0.67
IC 38,G,0.644100,-15.419833,15.02,0.77
IC 39,Dup,0.652333,-14.172833,,
IC 40,G,0.655944,2.456222,15.04,1.05
IC 41,G,0.661214,-14.174333,15.20,0.71
IC 42,G,0.684956,-15.428083,15.38,0.76
IC 43,G,0.706128,29.641639,13.25,1.26
IC 44,Dup,0.704411,0.845500,,
IC 45,Other,0.710094,29.655250,,
IC 46,G,0.716103,27.253472,14.28,0.80
IC 47,G,0.715281,-13.740722,16.09,0.41
IC 48,G,0.726242,-8.186500,13.16,1.12
IC 49,G,0.732258,1.850278,13.78,1.28
IC 50,G,0.768253,-9.503000,14.74,1.02
IC 51,G,0.773394,-13.442361,13.75,1.70
IC 52,G,0.806606,4.091861,15.31,0.95
IC 53,G,0.844658,10.600278,15.33,0.87
IC 55,G,0.861775,7.718528,15.01,0.55
IC 56,G,0.858317,-12.844306,15.14,0.82
IC 57,G,0.913472,11.841194,15.48,1.03
IC 58,G,0.917344,-13.678083,15.51,0.84
IC 59,RfN,0.957947,61.143667,,10.00
IC 60,G,0.934508,-13.357917,15.75,1.04
IC 61,G,0.952000,7.507083,15.23,1.34
IC 62,G,0.978872,11.808000,14.97,0.76
IC 63,HII,0.991344,60.911694,13.33,10.00
IC 64,G,0.990117,27.059056,13.96,1.03
IC 65,G,1.015394,47.681972,13.60,2.56
IC 66,G,1.009028,30.797222,14.10,1.23
IC 67,NonEx,1.004906,-6.910750,,
IC 68,NonEx,1.006014,-6.944111,,
IC 69,G,1.023239,31.040833,14.65,0.76
IC 70,G,1.017764,0.050750,16.77,0.42
IC 71,*,1.022017,-6.767167,,
IC 72,*,1.026308,-6.777944,,
IC 73,G,1.081375,4.767139,15.38,0.62
IC 74,G,1.098875,4.090250,15.59,0.57
IC 75,G,1.119892,10.836889,14.98,0.66
IC 76,G,1.136586,-4.554500,15.44,0.81
IC 77,G,1.145486,-15.420917,15.04,0.52
IC 78,G,1.146583,-15.845083,15.24,1.75
IC 79,G,1.147142,-15.948583,14.93,1.24
IC 80,GPair,1.147472,-15.407500,,1.20
IC 80 NED01,G,1.147417,-15.408944,14.83,1.50
IC 80 NED02,G,1.147536,-15.406306,12.90,1.50
IC 81,G,1.156183,-1.695861,14.53,1.17
IC 82,G,1.151608,-16.000306,14.85,0.91
IC 83,G,1.174939,1.689361,15.16,0.68
IC 84,G,1.190444,1.640194,15.21,0.67
IC 85,*,1.197097,-0.452472,,
IC 86,G,1.224589,-16.241667,15.31,0.72
IC 87,G,1.237719,0.765333,15.37,0.69
IC 88,G,1.242028,0.791750,18.07,0.53
IC 89,Dup,1.267669,4.294111,,
IC 90,G,1.275097,-7.977139,14.85,1.25
IC 91,G,1.310953,2.553667,16.48,0.71
IC 92,Dup,1.330139,32.767778,,
IC 93,G,1.317317,-17.060389,13.57,1.21
IC 94,*,1.334858,32.717333,,
IC 95,G,1.321633,-12.574139,16.20,0.61
IC 96,G,1.342561,29.617250,14.65,0.78
IC 97,Dup,1.333889,14.861056,,
IC 98,G,1.348578,-12.604722,16.30,0.68
IC 99,G,1.374267,-12.952556,15.82,0.58
IC 100,G,1.381656,-4.643028,14.48,1.04
IC 101,G,1.402375,9.930528,15.03,1.24
IC 102,G,1.407314,9.886556,15.57,0.75
IC 103,G,1.410122,2.044250,15.36,0.95
IC 105,G,1.412847,2.075278,15.59,0.58
IC 106,Dup,1.411569,-1.587083,,
IC 107,G,1.423517,14.864611,14.25,1.62
IC 108,G,1.410822,-12.635583,15.48,1.30
IC 109,G,1.420303,2.066222,14.87,0.76
IC 110,Other,1.429611,33.514694,,
IC 111,Other,1.433369,33.497111,,
IC 112,G,1.434172,11.442972,14.17,0.72
IC 113,G,1.440417,19.191972,,0.35
IC 114,G,1.439606,9.909944,15.62,1.40
IC 115,G,1.448456,19.214694,14.03,0.76
IC 116,G,1.447381,-4.982278,14.62,0.87
IC 117,Dup,1.457061,-1.912972,,
IC 118,G,1.460011,-4.997472,15.81,0.72
IC 119,G,1.465283,-2.040472,15.18,1.19
IC 120,G,1.470267,-1.915528,15.12,0.92
IC 121,G,1.472717,2.513028,14.25,1.00
IC 122,G,1.470333,-14.838889,15.96,0.65
IC 123,G,1.480961,2.446444,15.16,0.67
IC 124,*,1.485856,-1.937028,14.40,
IC 125,G,1.488431,-13.279833,16.18,0.61
IC 126,G,1.496628,-1.983750,15.66,0.89
IC 127,G,1.496558,-6.980056,9.20,1.69
IC 128,G,1.523297,-12.624389,15.35,0.82
IC 129,G,1.525350,-12.654389,15.28,1.23
IC 130,G,1.524650,-15.591611,15.49,0.75
IC 131,HII,1.554050,30.753250,12.52,0.30
IC 132,HII,1.554422,30.945611,14.82,0.67
IC 133,HII,1.554217,30.888389,18.45,0.45
IC 134,*,1.556944,30.900667,15.98,
IC 135,HII,1.570981,30.620083,,0.40
