name,type,ra_hours,dec_degrees,magnitude,size_arcmin
LBN 1,HII,17.770000,-28.850000,,
LBN 2,HII,17.823333,-29.116667,,
LBN 3,HII,17.785556,-28.775000,,
LBN 4,HII,17.861667,-28.900000,,
LBN 5,HII,16.683333,-17.600000,,
LBN 6,HII,16.616667,-16.600000,,
LBN 7,RfN,16.566667,-15.800000,,
LBN 8,HII,15.850000,-6.000000,,
LBN 9,HII,17.766667,-26.200000,,
LBN 10,HII,15.900000,-4.600000,,
LBN 11,HII,15.846944,-4.103333,,
LBN 12,HII,16.516667,-11.800000,,
LBN 13,HII,17.505000,-30.250000,,
LBN 14,HII,17.918333,-25.016667,,
LBN 15,HII,15.866667,-3.700000,,
LBN 16,HII,16.550000,-11.300000,,
LBN 17,HII,16.183531,-7.026685,,
LBN 18,HII,15.850000,-2.900000,,
LBN 19,HII,15.850000,-2.900000,,
LBN 20,HII,16.450000,-9.600000,,
LBN 21,HII,16.483333,-9.600000,,
LBN 22,HII,16.483333,-9.500000,,
LBN 23,HII,15.816667,-2.000000,,
LBN 24,HII,16.599111,-12.718056,,
LBN 25,Neb,18.060278,-24.386667,,
LBN 26,HII,18.083333,-24.300000,,
LBN 27,Neb,18.045000,-22.971667,,28.00
LBN 28,Neb,18.166667,-24.000000,,
LBN 29,HII,18.176667,-23.983333,,
LBN 30,HII,16.416667,-7.400000,,
LBN 31,HII,18.133333,-23.500000,,
LBN 32,HII,16.550000,-8.600000,,
LBN 33,HII,18.183333,-23.800000,,
LBN 34,RfN,18.150000,-23.500000,,
LBN 35,HII,16.600000,-9.000000,,
LBN 36,HII,16.016667,-1.600000,,
LBN 37,HII,15.998333,-1.600000,,
LBN 38,HII,18.106667,-21.650000,,
LBN 39,HII,16.616667,-7.800000,,
LBN 40,HII,18.150000,-21.500000,,
LBN 41,HII,20.050000,-31.400000,,
LBN 42,HII,18.265000,-20.250000,,
LBN 43,Neb,18.280671,-19.889965,,
LBN 44,HII,16.116667,0.400000,,
LBN 45,HII,16.093333,0.383333,,
LBN 46,RfN,18.285000,-19.865000,,
LBN 47,HII,18.283333,-19.500000,,
LBN 48,HII,18.147556,-18.260000,,
LBN 49,HII,18.202972,-17.713333,,
LBN 50,HII,18.116667,-17.000000,,
LBN 51,HII,18.263333,-18.233333,,
LBN 52,HII,18.333333,-18.000000,,
LBN 53,HII,18.183333,-16.700000,,
LBN 54,HII,20.050000,-27.900000,,
LBN 55,Neb,18.283333,-16.800000,,
LBN 56,PN,18.170444,-16.796944,,2.07
LBN 57,HII,18.300000,-16.000000,,
LBN 58,HII,18.101667,-14.150000,,
LBN 59,HII,18.303472,-15.591667,,
LBN 60,Neb,18.346389,-16.171667,,1.63
LBN 61,HII,18.216667,-14.500000,,
LBN 62,HII,18.426667,-14.700000,,
LBN 63,HII,18.516667,-16.000000,,
LBN 64,HII,18.372681,-14.534598,,
LBN 65,HII,18.677444,-16.565103,,
LBN 66,HII,18.433333,-14.800000,,
LBN 67,Neb,18.312533,-13.792000,,80.00
LBN 68,HII,18.333333,-13.900000,,
LBN 69,HII,18.566667,-15.500000,,
LBN 70,HII,18.333333,-13.000000,,
LBN 71,HII,18.316667,-12.500000,,
LBN 72,HII,18.297910,-11.682772,,
LBN 73,HII,18.536667,-11.766667,,
LBN 74,HII,18.550000,-11.800000,,
LBN 75,Neb,18.533333,-10.800000,,
LBN 76,HII,18.533333,-10.800000,,
LBN 77,HII,18.520000,-9.716667,,
LBN 78,HII,18.508333,-8.616667,,2.15
LBN 79,HII,18.523333,-8.466667,,
LBN 80,HII,18.616667,-7.583333,,
LBN 81,HII,18.583333,-6.900000,,
LBN 82,HII,18.611750,-6.624444,,
LBN 83,HII,19.766667,-14.900000,,
LBN 84,Neb,18.555887,-4.968327,12.52,1.50
LBN 85,HII,19.458333,-3.783333,,
LBN 86,HII,19.961667,-14.116667,,
LBN 87,HII,19.766667,-12.700000,,
LBN 88,RfN,17.300000,6.100000,,
LBN 89,HII,19.766667,-12.200000,,
LBN 90,HII,18.524027,-2.072800,,8.50
LBN 91,HII,18.784333,-3.801111,11.93,
LBN 92,HII,18.758333,-2.000000,,9.02
LBN 93,PN,18.416230,0.860006,16.50,
LBN 94,HII,18.822753,-2.360646,,
LBN 95,HII,18.583333,0.000000,,
LBN 96,PN,18.416230,0.860006,16.50,
LBN 97,HII,18.533333,1.200000,,
