name,type,ra_hours,dec_degrees,magnitude,size_arcmin
LDN 1,DrkN,16.473333,-16.166667,,14.00
LDN 2,DrkN,18.120556,-31.493056,,67.00
LDN 3,DrkN,18.053611,-30.997778,,142.00
LDN 4,DrkN,17.050000,-22.226667,,9.00
LDN 5,DrkN,17.271667,-24.416667,,7.00
LDN 6,DrkN,17.150000,-23.233333,,14.00
LDN 7,DrkN,17.471926,-26.369965,,
LDN 8,DrkN,16.773333,-19.250000,,17.00
LDN 9,DrkN,17.166667,-23.233333,,16.00
LDN 10,DrkN,17.963333,-30.100000,,3.50
LDN 11,DrkN,17.141944,-22.896667,,8.00
LDN 12,DrkN,17.970000,-30.116667,,3.50
LDN 13,DrkN,17.066667,-22.166667,,7.00
LDN 14,DrkN,17.418333,-25.550000,,10.00
LDN 15,DrkN,17.078333,-22.200000,,19.00
LDN 16,DrkN,17.266667,-24.050000,,21.00
LDN 17,DrkN,17.133333,-22.733333,,38.00
LDN 18,DrkN,17.150000,-22.900000,,6.00
LDN 19,DrkN,17.485000,-25.533333,,
LDN 20,DrkN,17.141667,-22.733333,,13.00
LDN 21,DrkN,17.485000,-25.933333,,9.00
LDN 22,DrkN,16.781667,-18.916667,,32.00
LDN 23,DrkN,17.286667,-23.966667,,3.00
LDN 24,DrkN,17.291667,-24.016667,,4.00
LDN 25,DrkN,17.543056,-26.268333,,4.00
LDN 26,DrkN,18.086667,-30.500000,,11.00
LDN 27,DrkN,16.463333,-15.116667,,112.00
LDN 28,DrkN,17.316667,-24.050000,,90.00
LDN 29,DrkN,18.113333,-30.633333,,10.00
LDN 30,DrkN,17.216667,-23.066667,,28.00
LDN 31,DrkN,16.840833,-19.121667,,16.00
LDN 32,DrkN,17.183333,-22.650000,,
LDN 33,DrkN,16.690000,-17.433333,,34.00
LDN 34,DrkN,17.802500,-28.016111,,300.00
LDN 35,DrkN,17.941667,-29.033333,,16.00
LDN 36,DrkN,17.481862,-25.215620,,
LDN 37,DrkN,17.333333,-23.883333,,7.00
LDN 38,DrkN,17.188333,-22.483333,,
LDN 39,DrkN,17.193333,-22.500000,,7.00
LDN 40,DrkN,17.953333,-29.066667,,10.00
LDN 41,DrkN,18.086667,-30.000000,,
LDN 42,DrkN,17.553333,-25.666667,,
LDN 43,DrkN,16.574806,-15.786389,,
LDN 44,DrkN,17.333333,-23.716667,,11.00
LDN 45,DrkN,17.518333,-25.366667,,35.00
LDN 46,DrkN,17.216667,-22.566667,,35.00
LDN 47,DrkN,16.831667,-18.583333,,32.00
LDN 48,DrkN,17.970000,-29.000000,,149.00
LDN 49,DrkN,18.036667,-29.500000,,61.00
LDN 50,DrkN,17.418333,-24.383333,,
LDN 51,DrkN,17.210000,-22.350000,,11.00
LDN 52,DrkN,17.536389,-25.426667,,5.00
LDN 53,DrkN,17.391389,-24.041667,,
LDN 54,DrkN,17.393333,-23.966667,,3.00
LDN 55,DrkN,17.383333,-23.883333,,3.00
LDN 56,DrkN,17.250000,-22.550000,,
LDN 57,DrkN,17.377278,-23.826111,,
LDN 58,DrkN,17.508333,-24.916667,,4.00
LDN 59,DrkN,17.343333,-23.383333,,5.00
LDN 60,DrkN,17.200000,-21.983333,,11.00
LDN 61,DrkN,17.523333,-24.916667,,5.50
LDN 62,DrkN,16.831667,-18.083333,,79.00
LDN 63,DrkN,16.837639,-18.101667,,
LDN 64,DrkN,17.667111,-26.142222,,
LDN 65,DrkN,17.231389,-21.926667,,
LDN 66,DrkN,17.394167,-23.695000,,
LDN 67,DrkN,17.233333,-21.883333,,
LDN 68,DrkN,18.118333,-29.366667,,5.00
LDN 69,DrkN,17.466191,-23.999510,,
LDN 70,DrkN,17.416667,-23.550000,,6.00
LDN 71,DrkN,17.233333,-21.716667,,23.00
LDN 72,DrkN,17.333333,-22.550000,,33.00
LDN 73,DrkN,17.518333,-24.200000,,32.00
LDN 74,DrkN,17.631944,-25.270000,,9.00
LDN 75,DrkN,18.136667,-29.166667,,16.00
LDN 76,DrkN,17.618333,-25.033333,,44.00
LDN 77,DrkN,17.316667,-22.250000,,4.00
LDN 78,DrkN,18.019259,-28.146349,,
LDN 79,DrkN,17.250000,-21.466667,,
LDN 80,DrkN,17.651667,-25.116667,,4.00
LDN 81,DrkN,17.418056,-24.121667,,
LDN 82,DrkN,17.768333,-26.016667,,90.00
LDN 83,DrkN,16.571667,-14.266667,,14.00
LDN 84,DrkN,17.601667,-24.533333,,34.00
LDN 85,DrkN,17.430721,-23.015663,,
LDN 86,DrkN,17.350000,-22.216667,,15.00
LDN 87,DrkN,17.310000,-21.800000,,2.00
LDN 88,DrkN,17.341667,-22.050000,,10.00
LDN 89,DrkN,17.308333,-21.700000,,4.00
LDN 90,DrkN,17.660000,-24.866667,,11.00
LDN 91,DrkN,17.391667,-22.466667,,8.00
LDN 92,DrkN,17.316667,-21.716667,,4.00
LDN 93,DrkN,18.049444,-27.868333,,5.00
