name,type,ra_hours,dec_degrees,magnitude,size_arcmin
Mel 1,OCl,0.401489,-72.081444,4.09,43.80
Mel 2,OCl,0.786528,85.243889,,32.60
Mel 3,OCl,0.879233,-26.582611,8.13,19.20
Mel 4,OCl,1.053961,-70.848778,6.58,12.90
Mel 5,OCl,1.056944,-72.073333,,
Mel 12,OCl,1.948194,37.793889,,58.20
Mel 13,OCl,2.316056,57.133889,,16.30
Mel 14,OCl,2.372278,57.148889,,15.00
Mel 15,OCl,2.547333,61.471111,,13.30
Mel 18,OCl,3.246056,47.235000,8.40,13.10
Mel 20,OCl,3.441139,48.975000,,243.20
Mel 22,OCl,3.773389,24.113889,,76.86
Mel 25,OCl,4.496472,16.948056,,
Mel 29,OCl,5.180200,16.522000,7.00,15.00
Mel 31,OCl,5.302777,33.373610,,
Mel 39,OCl,6.043861,49.883056,,12.00
Mel 40,OCl,6.124139,24.098889,,5.30
Mel 42,OCl,6.254722,39.846667,10.90,5.40
Mel 43,OCl,6.229333,12.813056,8.50,9.00
Mel 44,OCl,6.258806,-18.670000,8.60,11.80
Mel 46,OCl,6.493000,-31.281944,9.40,5.50
Mel 50,OCl,6.722139,26.976111,9.50,5.50
Mel 51,OCl,6.806056,41.060000,5.40,50.00
Mel 59,OCl,7.068861,1.046111,8.40,8.30
Mel 63,OCl,7.283139,13.771944,9.70,7.00
Mel 64,OCl,7.296194,-15.631111,,18.50
Mel 66,OCl,7.438194,-47.685000,,10.60
Mel 69,OCl,7.640139,21.575000,8.30,6.40
Mel 70,OCl,7.619944,-13.863056,,32.20
Mel 71,OCl,7.625528,-12.065000,7.10,9.00
Mel 72,OCl,7.641194,-10.698056,,6.40
Mel 73,OCl,7.681528,-19.078056,10.20,7.40
Mel 78,OCl,7.869722,-38.536944,5.80,18.00
Mel 80,OCl,8.000667,-10.773056,7.60,10.60
Mel 81,OCl,8.013389,-19.056111,9.30,7.20
Mel 83,OCl,8.177194,-12.833889,6.50,22.40
Mel 87,OCl,8.620611,-29.951944,8.40,10.40
Mel 88,OCl,8.670278,19.621111,,118.20
Mel 89,OCl,8.641278,-34.776944,11.20,6.80
Mel 92,OCl,8.711139,-47.201111,8.80,4.20
Mel 96,OCl,9.269611,-36.623889,,9.40
Mel 100,OCl,10.598000,-58.231111,,13.00
Mel 101,OCl,10.702333,-65.110000,,16.30
Mel 102,OCl,10.707528,-64.426111,,173.90
Mel 105,OCl,11.328000,-63.486111,8.50,6.50
Mel 106,OCl,11.426139,-43.240000,7.60,17.90
Mel 108,OCl,11.842944,-55.678889,8.30,8.50
Mel 109,OCl,12.108528,-61.245000,7.40,13.80
Mel 111,OCl,12.400944,25.651944,,
Mel 114,OCl,12.894333,-60.371111,,10.30
Mel 120,OCl,13.774278,-62.916111,5.90,7.00
Mel 130,OCl,15.070056,-54.366111,,44.20
Mel 131,OCl,15.091000,-55.608056,7.90,16.10
Mel 137,OCl,15.869722,-56.481944,9.00,17.38
Mel 138,OCl,15.930333,-57.438889,10.70,6.80
Mel 140,OCl,16.219944,-54.226944,,13.40
Mel 146,OCl,16.463528,-49.161111,7.20,6.00
Mel 156,OCl,16.985194,-52.711944,10.20,7.20
Mel 169,OCl,17.414139,-49.916944,,27.60
Mel 179,OCl,17.770278,5.615000,,60.70
Mel 186,OCl,18.039861,3.260000,,187.40
Mel 197,OCl,18.307722,-18.408889,11.10,6.00
Mel 210,OCl,18.643278,5.435000,,64.10
Mel 213,OCl,18.851056,-6.271944,5.80,8.90
Mel 222,OCl,19.622667,46.378056,6.80,22.80
Mel 223,OCl,19.688472,40.190000,7.30,11.40
Mel 227,OCl,20.280000,-79.040000,,
Mel 229,OCl,20.065528,44.158056,7.60,12.50
Mel 231,OCl,20.527806,60.653056,,14.80
Mel 232,OCl,20.575056,28.278056,,30.00
Mel 239,OCl,22.175000,52.858056,9.00,10.90
Mel 242,OCl,23.140744,-15.611472,10.48,6.00
Mel 244,OCl,23.831472,68.035000,,20.40
Mel 245,OCl,23.955611,56.726111,6.70,25.30
