name,hd,magnitude
Acamar,18622,2.88
Achernar,10144,0.45
Achird,4614,3.46
Acrab,144217,2.56
Acrux,108248,1.33
Acubens,76756,4.26
Adhafera,89025,3.43
Adhara,52089,1.50
Adhil,8207,4.87
Ain,28305,3.53
Ainalrami,174974,4.86
Aladfar,180163,4.43
Alasia,168746,7.95
Albaldah,178524,2.88
Albali,198001,3.78
Albireo,183912,3.37
Alchiba,105452,4.02
Alcor,116842,3.99
Alcyone,23630,2.85
Aldebaran,29139,0.87
Alderamin,203280,2.45
Aldhanab,207971,3.00
Aldhibah,155763,3.17
Aldulfin,195810,4.03
Alfirk,205021,3.23
Algedi,192947,3.58
Algenib,886,2.83
Algieba,89484,2.61
Algol,19356,2.09
Algorab,108767,2.94
Alhena,47105,1.93
Alioth,112185,1.76
Aljanah,197989,2.48
Alkaid,120315,1.85
Alkalurops,137391,4.31
Alkaphrah,77327,4.16
Alkarab,220657,4.42
Alkes,95272,4.08
Almaaz,31964,3.03
Almach,12533,2.10
Alnair,209952,1.73
Alnasl,165135,2.98
Alnilam,37128,1.69
Alnitak,37742,1.74
Alniyat,147165,2.90
Alphard,81797,1.99
Alphecca,139006,2.22
Alpheratz,358,2.07
Alpherg,9270,3.83
Alrakis,154906,5.55
Alrescha,12446,3.82
Alruba,161693,5.75
Alsafi,185144,4.67
Alsciaukat,70272,4.25
Alsephina,74956,1.99
Alshain,188512,3.71
Alshat,193432,4.77
Altair,187642,0.76
Altais,180711,3.07
Alterf,82308,4.32
Aludra,58350,2.45
Alula Australis,98231,4.41
Alula Borealis,98262,3.49
Alya,175638,4.62
Alzirr,48737,3.35
Amadioha,43197,8.98
Ancha,211391,4.17
Angetenar,17824,4.76
Aniara,102956,7.86
Ankaa,2261,2.40
Anser,183439,4.44
Antares,148478,1.06
Arcalis,131496,7.80
Arcturus,124897,-0.05
Arkab Posterior,181623,4.27
Arkab Prior,181454,3.96
Arneb,36673,2.58
Ascella,176687,2.60
Asellus Australis,74442,3.94
Asellus Borealis,74198,4.66
Ashlesha,74874,3.49
Aspidiske,80404,2.21
Asterope,23432,5.76
Athebyne,148387,2.73
Atik,23180,3.84
Atlas,23850,3.62
Atria,150798,1.91
Avior,71129,1.86
Axolotl,224693,8.23
Ayeyarwady,18742,7.81
Azelfafage,206672,4.69
Azha,18322,3.89
Azmidi,63700,3.45
Baekdu,133086,6.83
Baten Kaitos,11353,3.74
Beemim,28028,3.97
Beid,26574,4.04
Belel,181342,7.55
Belenos,8574,7.12
Bellatrix,35468,1.64
Betelgeuse,39801,0.45
Bharani,17573,3.61
Bibha,86081,8.73
Biham,210418,3.52
Bosona,206610,8.34
Botein,19787,4.35
Brachium,133216,3.25
Bubup,38283,6.69
Buna,16175,7.28
Bunda,205767,4.80
Canopus,45348,-0.62
Capella,34029,0.08
Caph,432,2.28
Castor,60179,1.98
Castula,5395,4.62
Cebalrai,161096,2.76
Ceibo,63454,9.37
Celaeno,23288,5.45
Cervantes,160691,5.15
Chalawan,95128,5.03
Chamukuy,28319,3.73
Chara,109358,4.24
Chechia,192699,6.44
Chertan,97633,3.33
Citadelle,1502,8.36
Citala,52265,6.29
Cocibolca,4208,7.78
Copernicus,75732,5.95
Cor Caroli,112413,2.89
Cujam,148112,4.57
Cursa,33111,2.78
Dabih,193495,3.05
Dalim,20010,3.86
Deneb,197345,1.25
Deneb Algedi,207098,2.85
Denebola,102647,2.14
Diadem,114378,4.85
Dingolay,96063,8.21
Diphda,4128,2.04
Dofida,117618,7.17
Dschubba,143275,2.29
Dubhe,95689,1.81
Dziban,162003,4.57
Ebla,218566,8.59
Edasich,137759,3.29
Electra,23302,3.72
Elgafar,126868,4.84
Elkurud,42167,5.00
Elnath,35497,1.65
Eltanin,164058,2.24
Emiw,7199,8.06
Enif,206778,2.38
Errai,222404,3.21
Fafnir,170693,4.82
Fang,143018,2.89
Fawaris,186882,2.90
Felis,85951,4.94
Flegetonte,102195,8.07
Fomalhaut,216956,1.17
Formosa,100655,6.45
Fulu,3360,3.69
Fumalsamakah,217891,4.48
Funi,109246,8.75
Furud,44402,3.02
Fuyue,161892,3.19
Gacrux,108903,1.59
Gakyid,73534,8.23
Giausar,100029,3.82
Gienah,106625,2.58
Ginan,107446,3.59
Gomeisa,58715,2.89
Grumium,163588,3.73
Gudja,141477,4.09
Gumala,179949,6.25
Guniibuu,155886,5.07
Hadar,122451,0.61
Haedus,32630,3.18
Hamal,12929,2.01
Hassaleh,31398,2.69
Hatysa,37043,2.80
Helvetios,217014,5.49
Heze,118098,3.38
Hoggar,28678,8.38
Homam,214923,3.41
Hunahpu,98219,8.05
Hunor,147506,8.72
Iklil,142669,3.87
Illyrian,82886,7.62
Imai,106490,2.75
Inquill,156411,6.67
Intan,20868,9.92
Intercrus,81688,5.41
Itonda,208487,7.47
Izar,129988,2.35
Jabbah,145502,4.50
Jishui,61110,4.89
Kaffaljidhma,16970,3.56
Kalausi,83443,8.23
Kamuy,145457,6.57
Kang,124294,4.18
Karaka,137388,8.71
Kaus Australis,169022,1.79
Kaus Borealis,169916,2.82
Kaus Media,168454,2.72
Kaveh,175541,8.02
Keid,26965,4.43
Khambalia,125337,4.52
Kitalpha,202447,3.92
Kochab,131873,2.07
Kornephoros,148856,2.78
Kraz,109379,2.65
Kurhah,209790,4.26
La Superba,110914,5.42
Larawag,151680,2.29
Lesath,158408,2.70
Libertas,188310,4.71
Liesma,118203,8.05
Lilii Borea,17361,4.52
Lionrock,212771,7.60
Lucilinburhuc,45350,7.89
Lusitania,45652,8.10
Maasym,158899,4.41
Macondo,93083,8.30
Mago,32518,6.43
Mahasim,40312,2.65
Mahsati,152581,8.38
Maia,23408,3.87
Marfik,148857,3.82
Markab,218045,2.49
Markeb,81188,2.47
Marsic,145001,5.00
Matar,215182,2.93
Mebsuta,48329,3.06
Megrez,106591,3.32
Meissa,36861,3.39
Mekbuda,52973,4.01
Meleph,73731,6.29
Menkalinan,40183,1.90
Menkar,18884,2.54
Menkent,123139,2.06
Menkib,24912,3.98
Merak,95418,2.34
Merga,130945,5.76
Meridiana,178253,4.11
Merope,23480,4.14
Mesarthim,11502,4.75
Miaplacidus,80007,1.67
Mimosa,111123,1.25
Minchir,73471,4.45
Minelauva,112300,3.39
Mintaka,36486,2.25
Mira,14386,6.47
Mirach,6860,2.07
Miram,17506,3.77
Mirfak,20902,1.79
Mirzam,44743,1.98
Misam,19476,3.79
Mizar,116656,2.23
Monch,130322,8.04
Mothallah,11443,3.42
Mouhoun,30856,7.91
Muliphein,53244,4.11
Muphrid,121370,2.68
Muscida,71369,3.35
Musica,199665,5.48
Nahn,78515,5.70
Naos,66811,2.21
Nashira,206088,3.69
Nasti,68988,8.20
Natasha,85390,8.54
Nekkar,133208,3.49
Nembus,9927,3.59
Nenque,6434,7.72
Nervia,49674,8.10
Nganurganity,52877,3.49
Nihal,36079,2.83
Nikawiy,136418,7.88
Nosaxa,48265,8.05
Nunki,175191,2.05
Nusakan,137909,3.90
Nushagak,17156,8.17
Ogma,149026,8.16
Okab,177724,2.99
Paikauhale,149438,2.82
Peacock,193924,1.94
Phact,37795,2.65
Phecda,103287,2.41
Pherkad,137422,3.00
Phoenicia,192263,7.79
Piautos,70011,5.92
Pincoya,164604,9.66
Pipirima,151985,3.56
Pleione,23862,5.05
Poerava,221287,7.82
Polaris,8890,2.13
Polaris Australis,177482,5.45
Polis,166937,3.84
Pollux,62509,1.16
Porrima,110379,3.44
Praecipua,94264,3.79
Prima Hyadum,27371,3.65
Procyon,61421,0.40
Propus,42995,3.32
Ran,22049,3.73
Rana,23249,3.53
Rapeto,153950,7.39
Rasalas,85503,3.88
Rasalgethi,156014,3.37
Rasalhague,159561,2.08
Rastaban,159181,2.79
Regulus,87901,1.36
Revati,7344,5.21
Rigel,34085,0.18
Rigil Kentaurus,128620,-0.01
Rosaliadecastro,149143,7.89
Rotanev,196524,3.64
Ruchbah,8538,2.66
Rukbat,181869,3.96
Sabik,155125,2.43
Saclateni,32068,3.69
Sadachbia,212061,3.86
Sadalbari,216131,3.51
Sadalmelik,209750,2.95
Sadalsuud,204867,2.90
Sadr,194093,2.23
Sagarmatha,100777,8.42
Saiph,38771,2.07
Salm,220061,4.58
Samaya,205739,8.56
Sargas,159532,1.86
Sarin,156164,3.12
Sceptrum,29503,4.02
Scheat,217906,2.44
Schedar,3712,2.24
Secunda Hyadum,27697,3.78
Segin,11415,3.35
Seginus,127762,3.04
Sham,185758,4.39
Shama,99109,9.10
Shaula,158926,2.08
Sheliak,174638,3.60
Sheratan,11636,2.70
Sika,181720,7.84
Sirius,48915,-1.45
Situla,214376,5.04
Skat,216627,3.27
Spica,116658,0.98
Stribor,75898,8.03
Sualocin,196867,3.86
Subra,83808,3.52
Suhail,78647,2.23
Sulafat,176437,3.25
Syrma,124850,4.07
