name,type,ra_hours,dec_degrees,magnitude,size_arcmin
NGC 1,G,0.121067,27.708083,12.93,1.57
NGC 2,G,0.121419,27.678361,14.17,0.95
NGC 3,G,0.121333,8.301639,13.40,1.02
NGC 4,G,0.123447,8.373778,16.36,0.53
NGC 5,G,0.130242,35.362306,14.61,0.98
NGC 6,G,0.159083,33.308667,14.41,1.73
NGC 7,G,0.139156,-29.915000,13.84,2.47
NGC 9,G,0.148528,23.816972,14.59,0.70
NGC 10,G,0.142928,-33.858333,12.49,2.35
NGC 11,G,0.145139,37.447917,14.44,1.44
NGC 12,G,0.145764,4.612528,13.18,1.52
NGC 13,G,0.146589,33.433333,14.08,2.28
NGC 14,G,0.146222,15.815556,12.44,1.53
NGC 15,G,0.150686,21.624528,15.08,1.07
NGC 16,G,0.151192,27.729417,12.00,1.74
NGC 17,G,0.185153,-12.107306,13.52,1.15
NGC 19,G,0.178019,32.983083,13.83,1.21
NGC 20,Dup,0.159083,33.308667,,
NGC 21,G,0.179694,33.352833,13.42,1.38
NGC 22,G,0.163386,27.832306,14.83,1.21
NGC 23,G,0.164836,25.923778,11.98,1.55
NGC 24,G,0.165706,-24.963139,11.52,6.18
NGC 25,G,0.166467,-57.020833,15.50,1.43
NGC 26,G,0.173853,25.831833,13.84,1.12
NGC 27,G,0.175769,28.996250,14.43,1.22
NGC 28,G,0.173678,-56.989139,15.80,0.92
NGC 29,Dup,0.179694,33.352833,,
NGC 31,G,0.177331,-56.986500,14.58,1.17
NGC 32,*,0.181553,18.796000,,
NGC 34,Dup,0.185153,-12.107306,,
NGC 35,G,0.186244,-12.020917,14.88,0.76
NGC 36,G,0.189528,6.389361,14.39,2.14
NGC 37,G,0.189703,-56.957333,14.94,1.11
NGC 38,G,0.196386,-5.586278,14.34,1.14
NGC 39,G,0.205239,31.061083,14.34,1.10
NGC 40,PN,0.216953,72.521944,11.89,0.80
NGC 41,G,0.213325,22.023389,14.52,0.94
NGC 42,G,0.215653,22.100306,15.07,0.86
NGC 43,G,0.216875,30.915278,13.87,1.39
NGC 45,G,0.234442,-23.182083,10.44,6.18
NGC 46,*,0.236072,5.987694,11.68,
NGC 47,G,0.241844,-7.167444,13.50,1.35
NGC 48,G,0.233942,48.234861,14.93,1.34
NGC 49,G,0.239564,48.246611,15.20,0.93
NGC 50,G,0.245714,-7.345083,12.79,2.04
NGC 51,G,0.243033,48.255694,14.44,1.40
NGC 52,G,0.244475,18.582028,14.34,2.26
NGC 53,G,0.245236,-60.328750,12.64,1.54
NGC 54,G,0.252131,-7.106722,14.31,1.35
NGC 55,G,0.248222,-39.196639,8.54,29.85
NGC 56,Other,0.255739,12.444528,,
NGC 57,G,0.258575,17.328528,11.65,2.11
NGC 58,Dup,0.241844,-7.167444,,
NGC 59,G,0.256981,-21.444389,12.45,2.38
NGC 60,G,0.266178,-0.303528,14.86,1.03
NGC 61,GPair,0.273389,-6.319444,,1.50
NGC 61 A,G,0.273428,-6.321917,14.10,1.48
NGC 61 B,G,0.273353,-6.318861,14.04,1.34
