name,type,ra_hours,dec_degrees,magnitude,size_arcmin
RCW 1,HII,7.066667,-9.600000,,
RCW 2,RfN,7.073611,-10.455000,,
RCW 3,HII,7.276514,-9.428484,,3.43
RCW 4,HII,7.398333,-8.600000,,
RCW 5,HII,7.308333,-13.226667,,
RCW 6,HII,7.165083,-18.498056,,9.00
RCW 7,HII,7.535997,-16.970083,,0.47
RCW 8,HII,7.501139,-18.536944,,
RCW 9,HII,6.750000,-24.400000,,
RCW 10,HII,7.520000,-19.000000,,
RCW 11,HII,6.903623,-23.928340,6.91,
RCW 12,HII,7.598333,-18.816667,,
RCW 13,HII,7.530000,-19.434722,,
RCW 14,HII,7.318722,-21.938056,,
RCW 15,HII,7.166667,-25.100000,,
RCW 16,HII,7.871800,-26.428000,,
RCW 17,PN,7.790629,-27.335228,12.20,0.31
RCW 18,HII,7.985000,-33.833333,,
RCW 19,HII,8.271333,-35.632778,,
RCW 20,HII,8.314694,-36.204167,,
RCW 21,PN,8.515055,-38.301939,,
RCW 22,HII,9.260000,-31.383333,,
RCW 23,HII,8.615000,-38.533333,,
RCW 24,PN,8.429867,-40.219447,18.21,16.78
RCW 25,HII,8.646667,-39.216667,,
RCW 26,HII,8.775000,-38.633333,,
RCW 27,HII,8.635556,-40.298056,,
RCW 28,HII,8.355000,-42.716667,,
RCW 29,HII,8.361667,-42.700000,,
RCW 30,HII,8.380000,-42.650000,,
RCW 31,HII,8.400000,-43.083333,,
RCW 32,HII,8.731250,-41.244167,,
RCW 33,HII,8.855000,-42.083333,,
RCW 34,HII,8.941139,-43.099444,11.21,1.80
RCW 35,HII,8.858333,-44.100000,,
RCW 36,HII,8.983583,-43.736111,15.20,
RCW 37,HII,9.003333,-45.950000,,
RCW 38,HII,8.984861,-47.510944,,
RCW 39,HII,9.055944,-48.430000,,
RCW 40,HII,9.039250,-48.698611,,
RCW 41,HII,9.282836,-47.963165,12.96,
RCW 42,HII,9.408361,-51.985278,,
RCW 43,PN,9.450839,-56.105861,12.40,1.50
RCW 44,PN,9.522368,-56.294318,17.94,
RCW 45,HII,10.196667,-56.400000,,
RCW 46,HII,10.110833,-57.203333,,
RCW 47,HII,10.084139,-58.656111,,
RCW 48,HII,10.275778,-57.933889,,
RCW 49,HII,10.404056,-57.782778,,
RCW 50,HII,10.459222,-57.190833,,
RCW 51,HII,10.598000,-58.231111,,13.00
RCW 52,HII,10.769861,-58.653333,,
RCW 53,HII,10.750619,-59.699944,,
RCW 54,HII,11.048917,-59.487778,,
RCW 55,HII,10.942361,-63.012778,,
RCW 56,HII,11.090000,-62.466667,,
RCW 57,HII,11.245000,-61.200000,,
RCW 58,HII,11.104779,-65.509789,7.70,
RCW 59,HII,11.695000,-57.333333,,
RCW 60,HII,11.481361,-62.625833,,
RCW 61,HII,11.506722,-63.817222,,
RCW 62,HII,11.638889,-63.372780,,
RCW 63,HII,12.133333,-55.300000,,
RCW 64,HII,12.331528,-62.918889,,
RCW 65,HII,12.581778,-61.656944,,
RCW 66,HII,12.599111,-61.747778,,
RCW 67,HII,12.598333,-62.033333,,
RCW 68,HII,12.670000,-61.866667,,
RCW 69,PN,12.740955,-62.521911,,5.00
RCW 70,PN,12.808611,-63.833056,15.00,
RCW 71,HII,12.839615,-61.583554,10.77,
RCW 72,HII,12.888333,-61.266667,,
RCW 73,HII,12.916667,-61.466667,,
RCW 74,HII,13.171944,-62.641667,,
RCW 75,HII,13.329444,-62.511667,,
RCW 76,PN,13.559133,-65.974178,14.50,2.33
RCW 77,PN,13.659739,-67.381042,12.54,0.06
RCW 78,HII,13.565000,-62.250000,,
RCW 79,HII,13.665000,-61.750000,,
RCW 80,SNR,13.775000,-62.900000,,15.00
RCW 81,HII,13.923333,-61.350000,,
RCW 82,HII,13.988333,-61.450000,,
RCW 83,HII,14.145000,-62.066667,,
RCW 84,HII,14.336667,-63.900000,,
RCW 85,HII,14.345000,-61.400000,,
RCW 86,HII,14.674722,-62.645000,,
RCW 87,HII,15.088683,-57.530279,,2.60
RCW 88,HII,15.118750,-57.806111,12.00,
RCW 89,SNR,15.226389,-59.003333,,
RCW 90,PN,15.099779,-55.987939,13.50,0.08
RCW 91,HII,15.271111,-58.215000,,
RCW 92,HII,15.310861,-56.646944,,
RCW 93,PN,15.571289,-59.152252,13.10,0.43
RCW 94,HII,15.680000,-54.166667,,20.00
RCW 95,HII,15.725000,-53.933333,,3.00
RCW 96,HII,15.880000,-55.250000,,
RCW 97,HII,15.884722,-54.590000,,9.20
RCW 98,HII,15.923333,-54.650000,,
RCW 99,HII,15.991222,-53.749167,,3.46
RCW 100,PN,15.861375,-51.524596,13.98,1.20
RCW 101,PN,16.287053,-51.986309,14.00,0.42
RCW 102,HII,16.296667,-51.916667,,
RCW 103,HII,16.292500,-51.033333,,10.00
RCW 104,HII,16.400000,-51.516667,,
RCW 105,HII,16.166667,-49.133333,,
RCW 106,HII,16.329722,-51.068333,,
RCW 107,HII,16.564552,-48.111243,6.71,
RCW 108,HII,16.666694,-48.862500,,
RCW 109,HII,16.776667,-45.733333,,
RCW 110,HII,16.904722,-45.283333,,
RCW 111,HII,16.918333,-45.083333,,
RCW 112,PN,16.525159,-40.253513,15.55,0.53
RCW 113,HII,16.883333,-42.200000,,
RCW 114,SNR,17.416667,-46.500000,,250.00
RCW 115,HII,16.548333,-37.200000,,
RCW 116,HII,16.994444,-40.190000,,
RCW 117,HII,17.159444,-41.603333,,
RCW 118,HII,17.225000,-39.850000,,
RCW 119,HII,17.078333,-38.066667,,
RCW 120,HII,17.206667,-38.466667,,
RCW 121,HII,17.306639,-39.319444,,3.30
RCW 122,HII,17.335253,-38.959472,,12.93
RCW 123,HII,17.353333,-38.200000,,
RCW 124,PN,17.229027,-37.103100,,0.47
RCW 125,HII,17.306667,-37.200000,,
RCW 126,HII,17.281667,-36.350000,,
RCW 127,HII,17.347962,-36.131234,,18.30
RCW 128,HII,17.396667,-36.300000,,
RCW 129,HII,16.618333,-28.100000,,
RCW 130,HII,17.291667,-34.150000,,
RCW 131,HII,17.412333,-34.203000,,6.20
RCW 132,HII,17.550000,-32.700000,,
RCW 133,HII,17.486667,-31.633333,,
RCW 134,HII,17.821667,-31.250000,,
RCW 135,PN,17.766019,-30.200213,12.08,0.06
RCW 136,HII,17.969624,-31.715550,17.00,
RCW 137,HII,17.761750,-29.368333,,
RCW 138,HII,17.750028,-28.856944,,
RCW 139,HII,17.782627,-29.011681,,
RCW 140,HII,17.790000,-29.050000,,
RCW 141,HII,17.785556,-28.775000,,
RCW 142,HII,17.837583,-28.900833,,2.00
RCW 143,HII,17.760000,-24.916667,,7.00
RCW 144,HII,17.896667,-25.016667,,
RCW 145,HII,18.000000,-23.300000,,
RCW 146,HII,18.100000,-24.000000,,
RCW 147,HII,18.041667,-22.900000,,
RCW 148,HII,18.025000,-21.583333,,
RCW 149,HII,18.116667,-21.750000,,
RCW 150,HII,18.085000,-20.800000,,
RCW 151,HII,18.275000,-20.400000,,
RCW 152,HII,17.936667,-16.316667,,
RCW 153,HII,18.316667,-19.316667,,
RCW 154,HII,18.098333,-17.000000,,
RCW 155,HII,18.203333,-17.666667,,
RCW 156,HII,18.298333,-17.483333,,
RCW 157,HII,18.268333,-16.583333,,
RCW 158,HII,18.105000,-14.200000,,
RCW 159,HII,18.415000,-16.566667,,
RCW 160,HII,18.341667,-16.186667,,
RCW 161,HII,18.348333,-15.133333,,
RCW 162,HII,18.381667,-14.633333,,
RCW 163,HII,18.500000,-15.366667,,
RCW 164,HII,18.431667,-14.816667,,
RCW 165,HII,18.308333,-13.708333,,
RCW 166,HII,18.423333,-13.116667,,
RCW 167,HII,18.350000,-11.900000,,
RCW 168,HII,18.525067,-9.990550,,17.90
RCW 169,HII,18.517056,-9.814444,,
RCW 170,HII,18.520000,-9.116667,,
RCW 171,HII,18.521667,-8.416667,,
RCW 172,HII,18.608333,-7.483333,,
RCW 173,HII,18.611750,-6.624444,,
RCW 174,HII,18.524027,-2.072800,,8.50
RCW 175,HII,18.780000,-3.750000,,
RCW 176,HII,18.755000,-2.016667,,
RCW 177,HII,18.740000,-0.350000,,
RCW 178,HII,19.028333,2.383333,,
RCW 179,HII,19.061667,2.216667,,5.00
RCW 180,HII,18.811667,6.366667,,
RCW 181,PN,18.915918,6.041961,,
RCW 182,HII,19.141944,5.597222,12.39,
