name,type,ra_hours,dec_degrees,magnitude,size_arcmin
Sh2-1,HII,15.980000,-26.116667,,
Sh2-2,HII,17.068333,-38.133333,,
Sh2-3,HII,17.206667,-38.466667,,
Sh2-4,HII,17.306639,-39.319444,,3.30
Sh2-5,HII,17.336942,-38.484042,,
Sh2-6,PN,17.229027,-37.103100,,0.47
Sh2-7,HII,16.010000,-22.933333,,
Sh2-8,HII,17.358333,-36.033333,,
Sh2-9,HII,16.353143,-25.592792,2.89,
Sh2-10,HII,17.316667,-34.083333,,
Sh2-11,HII,17.412333,-34.203000,,6.20
Sh2-12,HII,17.595832,-32.584719,,
Sh2-13,HII,17.506667,-31.550000,,
Sh2-14,HII,17.505000,-30.250000,,
Sh2-15,HII,17.841667,-31.266667,,
Sh2-16,HII,17.777000,-29.385278,,
Sh2-17,HII,17.770000,-28.850000,,
Sh2-18,HII,17.813333,-29.250000,,
Sh2-19,HII,17.823333,-29.116667,,
Sh2-20,HII,17.785556,-28.775000,,
Sh2-21,HII,17.861667,-28.900000,,
Sh2-22,HII,17.918333,-25.016667,,
Sh2-23,HII,16.223333,-8.366667,,
Sh2-24,HII,16.183531,-7.026685,,
Sh2-25,HII,18.060278,-24.386667,,
Sh2-26,HII,17.981667,-23.316667,,
Sh2-27,HII,16.599111,-12.718056,,
Sh2-28,HII,18.045000,-23.583333,,
Sh2-29,HII,18.176667,-23.983333,,
Sh2-30,HII,18.058333,-23.016667,,
Sh2-31,HII,18.190000,-23.783333,,
Sh2-32,HII,18.183333,-23.633333,,
Sh2-33,HII,15.998333,-1.600000,,
Sh2-34,HII,18.106667,-21.650000,,
Sh2-35,HII,18.265000,-20.250000,,
Sh2-36,HII,16.093333,0.383333,,
Sh2-37,RfN,18.285000,-19.865000,,
Sh2-38,HII,18.147556,-18.260000,,
Sh2-39,HII,18.281250,-18.697222,,
Sh2-40,HII,18.202972,-17.713333,,
Sh2-41,HII,18.263333,-18.233333,,
Sh2-42,PN,18.170444,-16.796944,,2.07
Sh2-43,HII,18.273333,-17.400000,,
Sh2-44,HII,18.275000,-16.733333,,
Sh2-45,HII,18.339222,-16.226944,,
Sh2-46,HII,18.101667,-14.150000,,
Sh2-47,HII,18.292774,-15.638994,,1.72
Sh2-48,HII,18.372681,-14.534598,,
Sh2-49,HII,18.316667,-13.866667,,
Sh2-50,HII,18.426667,-14.700000,,
Sh2-51,HII,18.677444,-16.565103,,
Sh2-52,PN,19.776169,-23.136935,15.77,1.80
Sh2-53,HII,18.421194,-13.221389,,
Sh2-54,HII,18.297910,-11.682772,,
Sh2-55,HII,18.536667,-11.766667,,
Sh2-56,HII,18.520000,-9.716667,,
Sh2-57,HII,18.508333,-8.616667,,2.15
Sh2-58,HII,18.523333,-8.466667,,
Sh2-59,HII,18.616667,-7.583333,,
Sh2-60,HII,18.611750,-6.624444,,
Sh2-61,HII,18.555887,-4.968327,12.52,1.50
Sh2-62,HII,19.458333,-3.783333,,
Sh2-63,HII,19.961667,-14.116667,,
Sh2-64,HII,18.524027,-2.072800,,8.50
Sh2-65,HII,18.784333,-3.801111,11.93,
Sh2-66,HII,18.758333,-2.000000,,9.02
Sh2-67,HII,18.822753,-2.360646,,
Sh2-68,PN,18.416230,0.860006,16.50,
Sh2-69,HII,18.737167,-0.314722,14.05,
Sh2-70,HII,18.243333,7.050000,,
Sh2-71,PN,19.033412,2.153049,14.00,1.66
Sh2-72,HII,19.063333,2.316667,13.07,
Sh2-73,HII,16.170583,21.868889,,
Sh2-74,HII,19.141944,5.597222,12.39,
Sh2-75,HII,18.987267,7.081000,12.74,1.60
Sh2-76,HII,18.940000,7.800000,11.66,
Sh2-77,HII,19.805000,1.150000,,
Sh2-78,PN,19.052799,14.116327,17.66,
