name,type,ra_hours,dec_degrees,magnitude,size_arcmin
Stock 1,OCl,19.609722,25.163056,5.30,89.00
Stock 2,OCl,2.257056,59.521944,,123.60
Stock 3,OCl,1.202467,62.258000,,
Stock 4,OCl,1.869278,57.055000,,19.60
Stock 5,OCl,2.074611,64.365000,,23.20
Stock 6,OCl,2.395000,63.866660,,
Stock 7,OCl,2.495389,60.626944,7.10,33.50
Stock 8,OCl,5.463722,34.451944,,18.40
Stock 10,OCl,5.653861,37.850000,,64.90
Stock 11,OCl,23.523000,55.813000,,
Stock 12,OCl,23.594861,52.685000,,48.40
Stock 13,OCl,11.218056,-58.883333,,
Stock 14,OCl,11.728333,-62.536667,6.30,9.70
Stock 15,OCl,12.174611,-59.478889,,12.10
Stock 16,OCl,13.324000,-62.622000,,3.00
Stock 17,OCl,23.729933,62.161000,,1.90
Stock 18,OCl,0.026611,64.625000,,6.80
Stock 19,OCl,0.078055,56.083330,,
Stock 20,OCl,0.421111,62.623333,,5.50
Stock 21,OCl,0.506000,57.921944,,6.20
Stock 23,OCl,3.271667,60.376944,,90.50
Stock 24,OCl,0.663000,61.966944,8.80,6.40
