name,type,ra_hours,dec_degrees,magnitude,size_arcmin
Tr 1,OCl,1.594444,61.283333,8.10,3.70
Tr 2,OCl,2.615472,55.905000,,38.80
Tr 3,OCl,3.200278,63.218056,7.00,33.10
Tr 4,OCl,6.078889,24.091667,8.40,5.60
Tr 5,OCl,6.608389,9.465000,,16.10
Tr 6,OCl,7.440533,-24.190000,10.00,
Tr 7,OCl,7.456667,-23.948333,,7.90
Tr 8,OCl,7.917472,-17.731944,9.60,9.00
Tr 9,OCl,7.927500,-25.888333,8.70,4.40
Tr 10,OCl,8.796194,-42.566111,,106.80
Tr 11,OCl,10.083194,-61.618889,8.10,6.80
Tr 12,OCl,10.108056,-60.290000,8.80,5.90
Tr 13,OCl,10.396806,-60.141944,11.30,5.40
Tr 14,OCl,10.732389,-59.553056,5.50,5.30
Tr 15,OCl,10.745139,-59.368889,,52.00
Tr 16,OCl,10.750194,-59.700000,,7.30
Tr 17,OCl,10.940528,-59.230000,8.40,7.90
Tr 18,OCl,11.188333,-60.656667,,8.30
Tr 19,OCl,11.241528,-57.563056,9.60,12.60
Tr 20,OCl,12.658806,-60.636944,,13.40
Tr 21,OCl,13.537778,-62.786667,7.70,5.00
Tr 22,OCl,14.518861,-61.168889,,11.00
Tr 23,OCl,16.014528,-53.538889,11.20,5.00
Tr 24,OCl,16.950000,-40.666667,8.60,60.00
Tr 25,OCl,17.408333,-39.006111,11.70,9.50
Tr 26,OCl,17.475056,-29.486944,9.50,8.60
Tr 27,OCl,17.605556,-33.516667,6.70,6.00
Tr 28,OCl,17.615389,-32.468889,,5.00
Tr 29,OCl,17.689806,-40.158056,7.50,17.40
Tr 30,OCl,17.945472,-35.298056,8.80,11.50
Tr 31,OCl,17.995533,-28.207000,9.80,
Tr 32,OCl,18.286278,-13.348889,12.20,5.00
Tr 33,OCl,18.410611,-19.711111,7.80,5.80
Tr 34,OCl,18.662333,-8.439000,8.60,5.00
Tr 35,OCl,18.716056,-4.215000,9.20,5.00
Tr 37,OCl,21.649667,57.513889,,146.00
