name,type,ra_hours,dec_degrees,magnitude,size_arcmin
vdB 1,RfN,0.179546,58.769520,8.60,8.60
vdB 2,RfN,0.223389,65.613460,9.50,3.40
vdB 3,RfN,0.577047,69.434610,8.50,1.80
vdB 4,RfN,0.721738,61.911150,9.50,8.40
vdB 5,RfN,0.945147,60.716740,2.57,120.00
vdB 6,RfN,1.728712,61.834320,9.20,1.80
vdB 7,RfN,2.815419,69.634290,6.50,6.20
vdB 8,RfN,2.859103,67.815040,8.50,4.60
vdB 9,RfN,2.866320,68.888500,5.96,7.40
vdB 10,RfN,3.263325,57.140620,6.00,16.00
vdB 11,RfN,3.403941,61.538570,8.37,6.20
vdB 12,RfN,3.423311,31.731100,7.00,4.60
vdB 13,RfN,3.430583,30.931710,8.80,4.60
vdB 14,RfN,3.484481,59.940330,4.23,46.00
vdB 15,RfN,3.498540,58.878750,4.58,54.00
vdB 16,RfN,3.472472,29.799250,9.10,9.00
vdB 17,RfN,3.488827,31.415850,9.50,8.00
vdB 18,RfN,3.586631,38.015170,7.58,14.20
vdB 19,RfN,3.742830,32.162820,8.53,5.60
vdB 20,RfN,3.747927,24.113340,3.71,22.00
vdB 21,RfN,3.763779,24.367750,3.88,52.00
vdB 22,RfN,3.772104,23.948360,4.18,52.00
vdB 23,RfN,3.791410,24.105140,2.87,34.00
vdB 24,RfN,3.826760,38.982100,8.80,9.00
vdB 25,RfN,4.206945,23.574570,7.50,8.60
vdB 26,RfN,4.226269,10.212480,7.20,11.40
vdB 27,RfN,4.365947,28.443210,9.10,8.60
vdB 28,RfN,4.366509,19.535120,9.40,12.40
vdB 29,RfN,4.806317,29.773000,6.50,13.60
vdB 30,RfN,4.900836,66.342680,4.30,46.00
vdB 31,RfN,4.929401,30.551190,6.80,9.00
vdB 32,RfN,5.039365,44.269570,9.12,1.80
vdB 33,RfN,5.114182,-3.333320,10.12,1.80
vdB 34,RfN,5.271708,34.312320,5.80,20.00
vdB 35,RfN,5.249846,13.014120,8.70,4.00
vdB 36,RfN,5.242298,-8.201640,0.15,820.00
vdB 37,RfN,5.301134,13.417740,8.20,15.40
vdB 38,RfN,5.362101,8.428560,5.77,28.00
vdB 39,RfN,5.408201,32.819070,9.50,0.60
vdB 40,RfN,5.427259,6.588180,9.00,0.60
vdB 41,RfN,5.486375,23.694420,9.30,1.20
vdB 42,RfN,5.521779,-5.703760,9.46,5.60
vdB 43,RfN,5.535389,6.047010,9.00,2.20
vdB 44,RfN,5.537452,-4.518390,8.11,8.60
vdB 45,RfN,5.611338,31.854510,9.50,0.60
vdB 46,RfN,5.607065,-6.716020,9.30,1.80
vdB 47,RfN,5.654119,23.323360,7.80,10.20
vdB 48,RfN,5.635143,-0.184300,7.46,28.00
vdB 49,RfN,5.653096,4.121470,4.50,42.00
vdB 50,RfN,5.670427,-1.462570,7.67,6.20
vdB 51,RfN,5.682325,-1.507180,6.98,10.20
vdB 52,RfN,5.693997,-2.259020,7.82,8.60
vdB 53,RfN,5.690529,-10.311670,9.50,1.80
